contrast,left,right,noise_type,metric,mean_paired_difference,sd_paired_difference,ci_low,ci_high
HHB_minus_HHH,HHB,HHH,gaussian,accuracy_auc,0.11528250000000002,0.05440639510319541,0.07270750000000004,0.15779500000000007
HHB_minus_HHH,HHB,HHH,gaussian,accuracy_degradation_auc,-0.08952250000000002,0.058747238897883546,-0.13225500000000007,-0.04142750000000005
HHB_minus_HHH,HHB,HHH,gaussian,macro_f1_auc,0.12310195132146477,0.05304785419303943,0.07909148825891973,0.16219320902348516
HHB_minus_HHH,HHB,HHH,gaussian,system_reconstruction_mse_increase_auc,-0.00329915409909219,0.003224452035152701,-0.006111558292654093,-0.0010911052801292752
HHB_minus_HHH,HHB,HHH,gaussian,standardized_reconstruction_mse_increase_auc,-0.00048020938802738404,0.001704828999215009,-0.0018054133006504575,0.0008449945245956894
HHB_minus_HHH,HHB,HHH,gaussian,representation_cosine_auc,-0.03822951614856725,0.005317724236068723,-0.042863720655441265,-0.03515680879354477
HHB_minus_HHH,HHB,HHH,gaussian,prediction_js_divergence_auc,-0.060514551540836695,0.03812971790337369,-0.08797733299434186,-0.027182007674127817
HHB_minus_HHH,HHB,HHH,salt_pepper,accuracy_auc,0.07698749999999999,0.05179842842693211,0.038474999999999926,0.11550000000000005
HHB_minus_HHH,HHB,HHH,salt_pepper,accuracy_degradation_auc,-0.0512275,0.06062684687908488,-0.09702750000000002,-0.006194999999999995
HHB_minus_HHH,HHB,HHH,salt_pepper,macro_f1_auc,0.07463420525498164,0.04715057212087841,0.03876988164728098,0.1104985288626823
HHB_minus_HHH,HHB,HHH,salt_pepper,system_reconstruction_mse_increase_auc,-0.004818268175112958,0.004093539760915281,-0.008432576630030362,-0.0025121793215250503
HHB_minus_HHH,HHB,HHH,salt_pepper,standardized_reconstruction_mse_increase_auc,-0.0008138841989818874,0.0023817362864906985,-0.0025667886144044457,0.001050526597499847
HHB_minus_HHH,HHB,HHH,salt_pepper,representation_cosine_auc,-0.06482660472393034,0.004855770915635842,-0.06890394687652583,-0.06151821166276934
HHB_minus_HHH,HHB,HHH,salt_pepper,prediction_js_divergence_auc,-0.0409098420292139,0.04193937375943046,-0.07276779040694237,-0.009051893651485437
HHB_minus_HHH,HHB,HHH,pixel_masking,accuracy_auc,0.028437500000000025,0.012666093394373827,0.017625000000000023,0.03776000000000004
HHB_minus_HHH,HHB,HHH,pixel_masking,accuracy_degradation_auc,-0.002677500000000002,0.00370596436504723,-0.005945000000000013,-0.00038750000000000866
HHB_minus_HHH,HHB,HHH,pixel_masking,macro_f1_auc,0.028993172508651986,0.012859203929636952,0.017864121324883797,0.03830987445561611
HHB_minus_HHH,HHB,HHH,pixel_masking,system_reconstruction_mse_increase_auc,0.0032195967722060737,0.0005561231062197814,0.00275336585896356,0.0036265868773752326
HHB_minus_HHH,HHB,HHH,pixel_masking,standardized_reconstruction_mse_increase_auc,0.0029293652852943964,0.00074556277747986,0.002411095326165764,0.003576361463945737
HHB_minus_HHH,HHB,HHH,pixel_masking,representation_cosine_auc,-0.010838674008846283,0.00028998803045312454,-0.01104232221841812,-0.010592676699161507
HHB_minus_HHH,HHB,HHH,pixel_masking,prediction_js_divergence_auc,-0.005432027531787755,0.0019631733688904415,-0.00684713725931943,-0.003705824865028262
HBB_minus_HHB,HBB,HHB,gaussian,accuracy_auc,0.08634000000000004,0.043281786910027195,0.04749749999999999,0.11308000000000003
HBB_minus_HHB,HBB,HHB,gaussian,accuracy_degradation_auc,-0.08982000000000001,0.042390641103019426,-0.11562000000000001,-0.0523975
HBB_minus_HHB,HBB,HHB,gaussian,macro_f1_auc,0.0945130352607616,0.0437128399595643,0.055825892417151746,0.12141823863390813
HBB_minus_HHB,HBB,HHB,gaussian,system_reconstruction_mse_increase_auc,-0.006796530230939389,0.0015586334796171223,-0.008024444156763505,-0.005568616305115272
HBB_minus_HHB,HBB,HHB,gaussian,standardized_reconstruction_mse_increase_auc,-0.009037334431215209,0.0020384469895503247,-0.01057750591484868,-0.007449704715597387
HBB_minus_HHB,HBB,HHB,gaussian,representation_cosine_auc,0.011621183156967163,0.004953210819159354,0.008303555846214294,0.01587750315666194
HBB_minus_HHB,HBB,HHB,gaussian,prediction_js_divergence_auc,-0.05198651417158544,0.024033262750893417,-0.06639137207530439,-0.03001740681938827
HBB_minus_HHB,HBB,HHB,salt_pepper,accuracy_auc,-0.0034275000000000277,0.08389054177915412,-0.06410750000000003,0.07037249999999995
HBB_minus_HHB,HBB,HHB,salt_pepper,accuracy_degradation_auc,-5.249999999999977e-05,0.08384600765689441,-0.07375249999999998,0.06028749999999997
HBB_minus_HHB,HBB,HHB,salt_pepper,macro_f1_auc,0.0022588977671829545,0.10371746177295203,-0.07005855858398229,0.09442161866189418
HBB_minus_HHB,HBB,HHB,salt_pepper,system_reconstruction_mse_increase_auc,-0.00188486975044012,0.0019286904751994428,-0.0035349569866669414,-0.0005188817068995267
HBB_minus_HHB,HBB,HHB,salt_pepper,standardized_reconstruction_mse_increase_auc,-0.004274293776872206,0.0034567209763291342,-0.006849307768928757,-0.0016137168096766199
HBB_minus_HHB,HBB,HHB,salt_pepper,representation_cosine_auc,0.0011158451437950135,0.007476228061165158,-0.005279795825481437,0.006460216641426086
HBB_minus_HHB,HBB,HHB,salt_pepper,prediction_js_divergence_auc,-0.0025358937680721337,0.05759747120575999,-0.05276668071746828,0.039523589238524455
HBB_minus_HHB,HBB,HHB,pixel_masking,accuracy_auc,0.005505000000000049,0.006289292736468929,0.0004874999999999963,0.010522500000000101
HBB_minus_HHB,HBB,HHB,pixel_masking,accuracy_degradation_auc,-0.008984999999999988,0.006072217727074676,-0.013705000000000014,-0.004572500000000014
HBB_minus_HHB,HBB,HHB,pixel_masking,macro_f1_auc,0.005675530341928114,0.006435871832536636,0.0005822215581712698,0.01076883912568496
HBB_minus_HHB,HBB,HHB,pixel_masking,system_reconstruction_mse_increase_auc,-0.00033957385206100923,0.00026341210812833417,-0.0005405560966048921,-0.00013859160751712626
HBB_minus_HHB,HBB,HHB,pixel_masking,standardized_reconstruction_mse_increase_auc,0.000674764424051558,0.0003211735712394033,0.0004541582687989794,0.0009542095726363519
