method,samples_seen,validation_reconstruction_mse_mean,validation_reconstruction_mse_sd,validation_reconstruction_mse_ci_low,validation_reconstruction_mse_ci_high
RRB,450000,0.004858399455547333,0.0003889646209713065,0.004530313280969858,0.005146371596157551
RRB,500000,0.004791656585782766,0.0003949838755827672,0.004482323061823845,0.005094273530542851
Random,50000,0.026344893604516983,0.0025738692846947204,0.02454287771999836,0.028454794214367862
Random,100000,0.02333157236456871,0.0025664336305831065,0.021584512238502503,0.025445261698961257
Random,150000,0.022052705852985383,0.0025314385306373396,0.02027583309531212,0.024180651399493217
Random,200000,0.021376680720448495,0.002467809846955986,0.019631104930043223,0.023456310244798655
Random,250000,0.020846934170722965,0.00249133328237652,0.019098625926971435,0.022958806129693983
Random,300000,0.020513964431881908,0.002508386534195733,0.018753063449263575,0.022634700595140455
Random,350000,0.020245237632989882,0.0024458736137914646,0.018529154806733134,0.022295456460118292
Random,400000,0.02005122676193714,0.0024581763875028825,0.018341753898262977,0.022111180459856983
Random,450000,0.019852499219179153,0.0024842111551051996,0.018121212489604948,0.021940129954218866
Random,500000,0.019754406989216804,0.002438232970293484,0.018038264744877817,0.02181964765191078
