seed,method,noise_type,accuracy_auc,accuracy_degradation_auc,macro_f1_auc,system_reconstruction_mse_increase_auc,standardized_reconstruction_mse_increase_auc,representation_cosine_auc,prediction_js_divergence_auc
0,BBB,gaussian,0.7975249999999998,0.11847500000000004,0.7929045187687586,0.01027801485602953,0.010341316950260377,0.9750278890132904,0.07566714216955008
0,BBB,salt_pepper,0.5754,0.34060000000000007,0.5443706783129845,0.030731121869902223,0.03133205745822313,0.9367871806025505,0.21535269916057587
0,BBB,pixel_masking,0.8991125000000001,0.016887500000000027,0.8975637014576873,0.010768664177279083,0.0108239920131406,0.9887058585882186,0.016333120525814593
0,HHH,gaussian,0.6299125,0.26788750000000006,0.6189770747814219,0.019458164305346352,0.01835147217341832,0.9999100267887115,0.17288628686219457
0,HHH,salt_pepper,0.506775,0.3910250000000001,0.4840916095527506,0.03612244119035954,0.03548034646754362,0.999832794070244,0.26062579452991486
0,HHH,pixel_masking,0.8653875,0.03241250000000004,0.8632324332129628,0.007509753517472013,0.007774862120589433,0.9999745264649392,0.029036075808107856
0,HHB,gaussian,0.813175,0.105525,0.806418367166872,0.018347549855526616,0.019951857359190375,0.9639119207859038,0.070503142895177
0,HHB,salt_pepper,0.637275,0.281425,0.6065371121936521,0.03241656434396092,0.034163175690052464,0.9393490105867386,0.18013941682875156
0,HHB,pixel_masking,0.8861,0.032599999999999955,0.8848876727346853,0.011112572363505558,0.01056904862304123,0.9895793497562408,0.02327223191969097
0,HBB,gaussian,0.8257,0.0886,0.8260313289571505,0.010205988958417156,0.010168674113069263,0.976488284766674,0.06036731461063028
0,HBB,salt_pepper,0.6196875,0.2946125,0.5957331360889196,0.029290456936067466,0.029857845897455604,0.9426837712526321,0.18674826622009277
0,HBB,pixel_masking,0.8908125,0.023487500000000026,0.8891924441012544,0.010474737007520636,0.011282320178163295,0.9887485802173615,0.018957777181640267
1,BBB,gaussian,0.8120250000000001,0.10387500000000004,0.8075396541078911,0.011615272810264511,0.01147090344982488,0.9724698513746262,0.07033382169902326
1,BBB,salt_pepper,0.6067625,0.30913750000000007,0.5964231171994372,0.030413776133863295,0.03020626405544427,0.9367766454815865,0.1906257197260857
1,BBB,pixel_masking,0.8924875,0.023412500000000048,0.8908962847544036,0.009822391418899809,0.009706067568854412,0.9890027120709418,0.01712187542580068
1,HHH,gaussian,0.5934750000000001,0.313125,0.5699169460927465,0.025540411312239508,0.025650870415142604,0.9998463094234467,0.21018014289438725
1,HHH,salt_pepper,0.48329999999999995,0.42329999999999995,0.451802150131887,0.04450190709610375,0.04438417940869623,0.99973414093256,0.2883867993950844
1,HHH,pixel_masking,0.8705875,0.03601249999999996,0.8691081001153125,0.00848583660271703,0.00790749366818642,0.9999733939766883,0.027643197914585475
1,HHB,gaussian,0.7102875,0.20601250000000002,0.7025580211830036,0.017094466332270176,0.023177241827273858,0.9524055123329164,0.13063790649175644
1,HHB,salt_pepper,0.6091625,0.3071375,0.5737808202828927,0.03250772760425295,0.04049699459392197,0.9269407987594604,0.2008857149630785
