contrast,left,right,noise_type,severity,metric,mean_paired_difference,sd_paired_difference,ci_low,ci_high
HHB_minus_HHH,HHB,HHH,gaussian,0.3,accuracy_absolute_degradation,-0.12482000000000001,0.10392211987830118,-0.21022,-0.04582000000000005
HHB_minus_HHH,HHB,HHH,gaussian,0.3,accuracy_relative_degradation,-0.1482355461944041,0.11236859298446591,-0.24276286736607933,-0.06089540055715661
HHB_minus_HHH,HHB,HHH,gaussian,0.3,macro_f1_absolute_degradation,-0.14191124512938422,0.10663444536905392,-0.22744130922626674,-0.06191831366086773
HHB_minus_HHH,HHB,HHH,gaussian,0.3,system_reconstruction_mse_increase,-0.005429318685823559,0.005397734564990128,-0.010172008874270385,-0.0017544617749233632
HHB_minus_HHH,HHB,HHH,gaussian,0.3,standardized_reconstruction_mse_increase,-0.0006525301285179273,0.0029098215643674798,-0.0028841265086738373,0.0015790662516379824
HHB_minus_HHH,HHB,HHH,gaussian,0.4,accuracy,0.11266000000000002,0.10237537789918039,0.041060000000000055,0.20415999999999998
HHB_minus_HHH,HHB,HHH,gaussian,0.4,macro_f1,0.1230634412011193,0.1174104306976845,0.03634983446386706,0.22293108116471352
HHB_minus_HHH,HHB,HHH,gaussian,0.4,classification_ce,-1.5348917961120605,0.9592241592579371,-2.2960833072662354,-0.7737002849578858
HHB_minus_HHH,HHB,HHH,gaussian,0.4,system_reconstruction_mse,-0.01935181358648806,0.006158733914314532,-0.02436928161776795,-0.01505039103605309
HHB_minus_HHH,HHB,HHH,gaussian,0.4,standardized_reconstruction_mse,-0.011952196223979092,0.004464235285775792,-0.015974563573720502,-0.009310029275076726
HHB_minus_HHH,HHB,HHH,gaussian,0.4,representation_cosine,-0.08942861557006836,0.010470821260894811,-0.09870306253433228,-0.08370915651321412
HHB_minus_HHH,HHB,HHH,gaussian,0.4,prediction_js_divergence,-0.07538931369781494,0.07669991173837325,-0.14156618118286132,-0.019369286298751832
HHB_minus_HHH,HHB,HHH,gaussian,0.4,accuracy_absolute_degradation,-0.08690000000000003,0.1099549680551088,-0.18336000000000005,-0.007780000000000042
HHB_minus_HHH,HHB,HHH,gaussian,0.4,accuracy_relative_degradation,-0.11003820436024905,0.11733774149320861,-0.21433163544257244,-0.026736092812217182
HHB_minus_HHH,HHB,HHH,gaussian,0.4,macro_f1_absolute_degradation,-0.09717508943972983,0.12560306861273315,-0.2023999989420509,-0.003907485785164311
HHB_minus_HHH,HHB,HHH,gaussian,0.4,system_reconstruction_mse_increase,-0.005498838663782387,0.00688086885564505,-0.011681281925707436,-0.0012974542001802064
HHB_minus_HHH,HHB,HHH,gaussian,0.4,standardized_reconstruction_mse_increase,0.002168091745765842,0.003969462296076889,-0.0009636013066038826,0.005151987160663221
