sweep,method,metric,baseline_case,baseline_value,minimum,maximum,sensitivity,layer,noise_type,rule
dimension,HBB,macro_f1,L64,0.9151505160361297,0.861538711374858,0.9252821272890236,0.06965347753962184,,,
dimension,HBB,classification_ce,L64,0.2832034945487976,0.2508766621351242,0.4181115448474884,0.5905113670232559,,,
dimension,HBB,system_reconstruction_mse,L64,0.0032699993506742986,0.0022705839884037877,0.018972149653726695,5.107513448518393,,,
dimension,HBB,standardized_reconstruction_mse,L64,0.003312132648351241,0.002187548858876131,0.018863347823473868,5.034761807581615,,,
dimension,HBB,system_training_samples_seen,L64,1000000.0,1000000.0,1000000.0,0.0,,,
dimension,HBB,system_training_wall_time_sec,L64,435.8698365200338,287.4034431599983,449.525742639997,0.371951178761017,,,
dimension,HBB,standardized_decoder_samples_seen,L64,500000.0,500000.0,500000.0,0.0,,,
dimension,HBB,standardized_decoder_wall_time_sec,L64,246.48647319999182,171.9022014000002,246.62007809999923,0.30313175295171213,,,
dimension,HBB,total_training_samples_seen,L64,1500000.0,1500000.0,1500000.0,0.0,,,
dimension,HBB,total_training_wall_time_sec,L64,682.3563097200256,459.3056445599985,696.1458207399962,0.3470916481701095,,,
dimension,HHB,accuracy,L64,0.9198599999999999,0.7337,0.9342,0.2179679516445786,,,
dimension,HHB,macro_f1,L64,0.9186179440340909,0.7137083185662372,0.9332793970639731,0.23902328484163424,,,
dimension,HHB,classification_ce,L64,0.2773395895957947,0.22453992664813996,0.7524276435375213,1.9033983487782677,,,
dimension,HHB,system_reconstruction_mse,L64,0.0046470480285372056,0.0036733346678286182,0.029742829500509764,5.609904323557718,,,
dimension,HHB,standardized_reconstruction_mse,L64,0.004568547135372551,0.003438406947680882,0.03173520018830592,6.1938275771174,,,
dimension,HHB,system_training_samples_seen,L64,1500000.0,1500000.0,1500000.0,0.0,,,
dimension,HHB,system_training_wall_time_sec,L64,579.255081860027,408.9273675000004,579.255081860027,0.29404612871602703,,,
dimension,HHB,standardized_decoder_samples_seen,L64,500000.0,500000.0,500000.0,0.0,,,
dimension,HHB,standardized_decoder_wall_time_sec,L64,257.58887043999187,160.89152593999606,257.58887043999187,0.3753941089722746,,,
dimension,HHB,total_training_samples_seen,L64,2000000.0,2000000.0,2000000.0,0.0,,,
dimension,HHB,total_training_wall_time_sec,L64,836.8439523000188,581.0807322199995,836.8439523000188,0.30562833055920174,,,
dimension,HHH,accuracy,L64,0.8940999999999999,0.6800999999999999,0.929,0.27838049435155104,,,
dimension,HHH,macro_f1,L64,0.8927295922727015,0.6739137446510176,0.9280929408507242,0.2847213740863403,,,
dimension,HHH,classification_ce,L64,0.3552584707736969,0.24390153586864471,0.9826252698898316,2.079397944854865,,,
dimension,HHH,system_reconstruction_mse,L64,0.018500022951242874,0.014473579706464493,0.0375239962145747,1.2459669140743237,,,
dimension,HHH,standardized_reconstruction_mse,L64,0.018688835105117485,0.014111891362715743,0.03741246006790473,1.246764101287508,,,
dimension,HHH,system_training_samples_seen,L64,2000000.0,2000000.0,2000000.0,0.0,,,
dimension,HHH,system_training_wall_time_sec,L64,695.3432434400213,418.93351548000135,695.3432434400213,0.39751551563592924,,,
dimension,HHH,standardized_decoder_samples_seen,L64,500000.0,500000.0,500000.0,0.0,,,
dimension,HHH,standardized_decoder_wall_time_sec,L64,242.39518759998336,158.21637462000072,242.39518759998336,0.3472792253569809,,,
dimension,HHH,total_training_samples_seen,L64,2500000.0,2500000.0,2500000.0,0.0,,,
dimension,HHH,total_training_wall_time_sec,L64,937.7384310400046,579.7003871999987,937.7384310400046,0.3818101423473934,,,
architecture,BBB,effective_rank,balanced,1.882369806551793,1.3043698674140012,2.553561223867199,0.6636269621965821,h1,,
architecture,BBB,stable_rank,balanced,1.4005715885134244,1.1472389181133191,1.6562554012703274,0.3634348199915423,h1,,
architecture,BBB,winner_coverage_ratio,balanced,0.9875,0.9875,1.0,0.012658227848088403,h1,,
architecture,BBB,winner_entropy,balanced,0.7702586229804895,0.6618790836152718,0.8549428599980136,0.2506479909766377,h1,,
architecture,BBB,max_winner_share,balanced,0.2736962314427103,0.09915801112984211,0.6740800659814743,2.1005844757854235,h1,,
architecture,BBB,linear_probe_cv_accuracy,balanced,0.9004,0.8844000000000001,0.9055,0.023434029320275947,h1,,
architecture,BBB,knn_cv_accuracy,balanced,0.8427999999999999,0.8176,0.8427999999999999,0.029900332225878016,h1,,
