sweep,case,contrast,metric,mean_paired_difference,sd_paired_difference,ci_low,ci_high
dimension,L32,HBB_minus_HHB,standardized_decoder_wall_time_sec,11.010675460004132,15.575995177135352,-2.2768673399899853,22.217980380001244
dimension,L32,HBB_minus_HHB,total_training_samples_seen,-500000.0,0.0,-500000.0,-500000.0
dimension,L32,HBB_minus_HHB,total_training_wall_time_sec,-121.775087660001,139.20614368744447,-245.70012534000415,-37.84597906000708
dimension,L32,BBB_minus_HHB,accuracy,0.01584000000000003,0.009378059500770948,0.008460000000000023,0.02322000000000004
dimension,L32,BBB_minus_HHB,macro_f1,0.0160426441466087,0.009560032241102577,0.008510860992199287,0.023574427301018108
dimension,L32,BBB_minus_HHB,classification_ce,-0.04845241010189057,0.030991698788581393,-0.07259641289710998,-0.024308407306671144
dimension,L32,BBB_minus_HHB,system_reconstruction_mse,-0.001584071933493322,0.0018763420287764689,-0.0028347931653626107,0.0001010827063541022
dimension,L32,BBB_minus_HHB,standardized_reconstruction_mse,-0.001258039768082755,0.0018548253648558984,-0.0024392889990125393,0.0003835786378626922
dimension,L32,BBB_minus_HHB,system_training_samples_seen,-1000000.0,0.0,-1000000.0,-1000000.0
dimension,L32,BBB_minus_HHB,system_training_wall_time_sec,-225.79945160000497,125.12112995421946,-335.5534232000049,-146.9934495200112
dimension,L32,BBB_minus_HHB,standardized_decoder_samples_seen,0.0,0.0,0.0,0.0
dimension,L32,BBB_minus_HHB,standardized_decoder_wall_time_sec,6.830062340000586,27.237191981200947,-16.427321019998637,27.955709319999734
dimension,L32,BBB_minus_HHB,total_training_samples_seen,-1000000.0,0.0,-1000000.0,-1000000.0
dimension,L32,BBB_minus_HHB,total_training_wall_time_sec,-218.9693892600044,114.64975598639029,-320.56583747999684,-138.03165080001054
dimension,L64,HHB_minus_HHH,accuracy,0.025759999999999984,0.010491091458947437,0.01664000000000001,0.03328
dimension,L64,HHB_minus_HHH,macro_f1,0.025888351761389462,0.01062186219231368,0.016668275889768002,0.03351611797807079
dimension,L64,HHB_minus_HHH,classification_ce,-0.07791888117790222,0.029439310324900488,-0.09634326100349426,-0.05137677192687988
dimension,L64,HHB_minus_HHH,system_reconstruction_mse,-0.01385297492270567,0.0017816332429896312,-0.015248216785411444,-0.012457733059999896
dimension,L64,HHB_minus_HHH,standardized_reconstruction_mse,-0.014120287969744936,0.001746770034764499,-0.015455072770216025,-0.012754110284532822
dimension,L64,HHB_minus_HHH,system_training_samples_seen,-500000.0,0.0,-500000.0,-500000.0
dimension,L64,HHB_minus_HHH,system_training_wall_time_sec,-116.08816157999426,70.77840670318463,-169.37850838001978,-58.6155044799958
dimension,L64,HHB_minus_HHH,standardized_decoder_samples_seen,0.0,0.0,0.0,0.0
dimension,L64,HHB_minus_HHH,standardized_decoder_wall_time_sec,15.193682840008478,41.783854750198955,-9.034705679980107,52.54848270000984
dimension,L64,HHB_minus_HHH,total_training_samples_seen,-500000.0,0.0,-500000.0,-500000.0
dimension,L64,HHB_minus_HHH,total_training_wall_time_sec,-100.89447873998579,108.95142087755043,-177.16669845997822,-10.634832339999775
dimension,L64,HBB_minus_HHB,accuracy,-0.0034799999999999944,0.0028682747427678373,-0.005399999999999983,-0.0010399999999999964
dimension,L64,HBB_minus_HHB,macro_f1,-0.003467427997961314,0.003012848217314636,-0.005469984656953275,-0.0008912331091363468
dimension,L64,HBB_minus_HHB,classification_ce,0.00586390495300293,0.008511270144406913,0.0004798233509063721,0.01323704719543457
dimension,L64,HBB_minus_HHB,system_reconstruction_mse,-0.0013770486778629067,0.00035498925704201105,-0.001633390210404688,-0.0010839008572636815
dimension,L64,HBB_minus_HHB,standardized_reconstruction_mse,-0.00125641448702131,0.0003432415343193984,-0.0015096106889296548,-0.0009692545610544632
dimension,L64,HBB_minus_HHB,system_training_samples_seen,-500000.0,0.0,-500000.0,-500000.0
dimension,L64,HBB_minus_HHB,system_training_wall_time_sec,-143.38524533999316,41.121495913603795,-174.82897955998777,-110.53263965999341
dimension,L64,HBB_minus_HHB,standardized_decoder_samples_seen,0.0,0.0,0.0,0.0
dimension,L64,HBB_minus_HHB,standardized_decoder_wall_time_sec,-11.102397240000027,30.616781992801624,-37.43573910000432,10.07086732001153
dimension,L64,HBB_minus_HHB,total_training_samples_seen,-500000.0,0.0,-500000.0,-500000.0
dimension,L64,HBB_minus_HHB,total_training_wall_time_sec,-154.48764257999318,48.99519429836023,-187.28945288000432,-111.7710121399883
dimension,L64,BBB_minus_HHB,accuracy,-0.004019999999999979,0.004655856526999108,-0.008160000000000011,-0.001059999999999972
dimension,L64,BBB_minus_HHB,macro_f1,-0.004126338691049813,0.00476261075816972,-0.008376566542927821,-0.0010702655483455948
dimension,L64,BBB_minus_HHB,classification_ce,0.00531238317489624,0.0048768481878906905,0.0014801025390625,0.009219753742218017
dimension,L64,BBB_minus_HHB,system_reconstruction_mse,-0.001445945775995449,0.0003137721515043761,-0.0016714772209829212,-0.001160822482595638
dimension,L64,BBB_minus_HHB,standardized_reconstruction_mse,-0.0013341779565811157,0.00024192852402812664,-0.0015044108326094491,-0.00113201966310034
dimension,L64,BBB_minus_HHB,system_training_samples_seen,-1000000.0,0.0,-1000000.0,-1000000.0
dimension,L64,BBB_minus_HHB,system_training_wall_time_sec,-266.27820475999505,69.74384160387959,-308.374826100007,-206.0669454199946
dimension,L64,BBB_minus_HHB,standardized_decoder_samples_seen,0.0,0.0,0.0,0.0
dimension,L64,BBB_minus_HHB,standardized_decoder_wall_time_sec,-9.37541168000116,47.80544908523064,-51.876577919981536,20.354112979979256
dimension,L64,BBB_minus_HHB,total_training_samples_seen,-1000000.0,0.0,-1000000.0,-1000000.0
dimension,L64,BBB_minus_HHB,total_training_wall_time_sec,-275.6536164399962,91.68592883209293,-351.02596105997037,-204.66484214000047
dimension,L128,HHB_minus_HHH,accuracy,0.005200000000000005,0.0035993054885630677,0.0029799999999999827,0.008440000000000048
dimension,L128,HHB_minus_HHH,macro_f1,0.005186456213248825,0.003655445866446583,0.0030178034651075158,0.00848836101519863
dimension,L128,HHB_minus_HHH,classification_ce,-0.019361609220504762,0.022235920803792695,-0.035765531659126285,-0.0029576867818832397
dimension,L128,HHB_minus_HHH,system_reconstruction_mse,-0.010800245038635876,0.001063184067981299,-0.011662929610427544,-0.009995323579068089
dimension,L128,HHB_minus_HHH,standardized_reconstruction_mse,-0.01067348441503486,0.0009474569970031397,-0.01137230113000286,-0.00996042981011527
dimension,L128,HHB_minus_HHH,system_training_samples_seen,-500000.0,0.0,-500000.0,-500000.0
dimension,L128,HHB_minus_HHH,system_training_wall_time_sec,-90.86647036000213,56.32749331891641,-134.99138526000897,-46.74155545999529
dimension,L128,HHB_minus_HHH,standardized_decoder_samples_seen,0.0,0.0,0.0,0.0
dimension,L128,HHB_minus_HHH,standardized_decoder_wall_time_sec,11.412896380000166,54.90794633109354,-31.603130579998833,56.408828940006785
dimension,L128,HHB_minus_HHH,total_training_samples_seen,-500000.0,0.0,-500000.0,-500000.0
dimension,L128,HHB_minus_HHH,total_training_wall_time_sec,-79.45357398000196,33.1208166849879,-104.35067181999912,-54.55647614000482
dimension,L128,HBB_minus_HHB,accuracy,-0.007920000000000016,0.0030268795813510507,-0.01010000000000002,-0.005339999999999989
dimension,L128,HBB_minus_HHB,macro_f1,-0.007997269774949722,0.003065807121776063,-0.010183845494074317,-0.005390153065584347
dimension,L128,HBB_minus_HHB,classification_ce,0.02633673548698425,0.007478768888979676,0.02048707604408264,0.03201150000095367
dimension,L128,HBB_minus_HHB,system_reconstruction_mse,-0.0014027506794248308,0.00014716317129582048,-0.0015191293223050174,-0.001286372036544644
dimension,L128,HBB_minus_HHB,standardized_reconstruction_mse,-0.001250858088804751,0.00016893140472216186,-0.001381572256672139,-0.001120143920937363
dimension,L128,HBB_minus_HHB,system_training_samples_seen,-500000.0,0.0,-500000.0,-500000.0
dimension,L128,HBB_minus_HHB,system_training_wall_time_sec,-77.18575148000382,166.2157761479579,-203.96160650000675,54.00760659999796
dimension,L128,HBB_minus_HHB,standardized_decoder_samples_seen,0.0,0.0,0.0,0.0
dimension,L128,HBB_minus_HHB,standardized_decoder_wall_time_sec,8.793405519999215,39.87626751392101,-16.737347780002164,44.69595144000486
dimension,L128,HBB_minus_HHB,total_training_samples_seen,-500000.0,0.0,-500000.0,-500000.0
dimension,L128,HBB_minus_HHB,total_training_wall_time_sec,-68.3923459600046,192.59835301663645,-206.48085426000762,92.56117304000072
dimension,L128,BBB_minus_HHB,accuracy,-0.009620000000000007,0.0032135649985646497,-0.012039999999999985,-0.007120000000000015
dimension,L128,BBB_minus_HHB,macro_f1,-0.009745526965064522,0.0032435915634693633,-0.012185491974928997,-0.007236163565750187
dimension,L128,BBB_minus_HHB,classification_ce,0.030227544903755187,0.006637289820053191,0.024102607369422914,0.03459710776805878
dimension,L128,BBB_minus_HHB,system_reconstruction_mse,-0.0014988009100544211,0.0001575414689499838,-0.0016167480950939413,-0.0013675888949997571
