sweep,case,seed,method_id,method,layer,rule,snapshot,alignment,norm_ratio,alpha_star,scale_matched_bias,update_snr_linear,update_snr_db,matched_bp_snr_linear,mean_update_norm
architecture,balanced,0,full_hebbian,HHH,enc1,hebbian_raw,enc1_end,0.36250712677130614,90.38653680962932,0.004010631890234592,0.9319809989121318,445.95718634156543,26.492931667208506,1.4045289201006335,
architecture,balanced,0,full_hebbian,HHH,enc1,hebbian_effective,enc1_end,0.3627579445501469,0.04519362846671804,8.026460292832558,0.9318831601521693,438.4414077882893,26.41911563552821,1.4045289201006335,
architecture,balanced,0,hybrid_hhb,HHB,enc1,hebbian_raw,enc1_end,0.36250712677130614,90.38653680962932,0.004010631890234592,0.9319809989121318,445.95718634156543,26.492931667208506,1.4045289201006335,
architecture,balanced,0,hybrid_hhb,HHB,enc1,hebbian_effective,enc1_end,0.3627579445501469,0.04519362846671804,8.026460292832558,0.9318831601521693,438.4414077882893,26.41911563552821,1.4045289201006335,
architecture,balanced,0,hybrid_hbb,HBB,enc1,hebbian_raw,enc1_end,0.36250712677130614,90.38653680962932,0.004010631890234592,0.9319809989121318,445.95718634156543,26.492931667208506,1.4045289201006335,
architecture,balanced,0,hybrid_hbb,HBB,enc1,hebbian_effective,enc1_end,0.3627579445501469,0.04519362846671804,8.026460292832558,0.9318831601521693,438.4414077882893,26.41911563552821,1.4045289201006335,
architecture,balanced,0,full_hebbian,HHH,enc2,hebbian_raw,enc2_end,0.03327219358710542,5.133224778526548,0.006481733250720132,0.9994463271152382,0.023695704077297805,-16.253303824555104,0.9285289428504093,
architecture,balanced,0,full_hebbian,HHH,enc2,hebbian_effective,enc2_end,0.033257464568128,0.0025666647563691784,12.901728768996522,0.9994468153392403,0.02369393634256313,-16.253627826777656,0.9285289428504093,
architecture,balanced,0,hybrid_hhb,HHB,enc2,hebbian_raw,enc2_end,0.03327219358710542,5.133224778526548,0.006481733250720132,0.9994463271152382,0.023695704077297805,-16.253303824555104,0.9285289428504093,
architecture,balanced,0,hybrid_hhb,HHB,enc2,hebbian_effective,enc2_end,0.033257464568128,0.0025666647563691784,12.901728768996522,0.9994468153392403,0.02369393634256313,-16.253627826777656,0.9285289428504093,
architecture,balanced,0,full_hebbian,HHH,enc3,hebbian_raw,enc3_end,-0.00017556993615663443,1532.775691062773,-1.145437895308295e-07,0.9999999845786127,0.9488917333881128,-0.22783336860836662,1.429496082663348,
architecture,balanced,0,full_hebbian,HHH,enc3,hebbian_effective,enc3_end,0.00014485032794044194,0.7659041752464417,0.00018912330369248254,0.9999999895002053,0.9499663237316476,-0.22291790160361413,1.429496082663348,
architecture,balanced,0,full_bp,BBB,enc1,bp_raw,final_validation_selected,1,1,1,0,35.74505579791076,15.532159793348786,35.74505579791076,0.0024235799838788806
architecture,balanced,0,full_bp,BBB,enc2,bp_raw,final_validation_selected,1,1,1,0,13.282505973972768,11.2328001991118,13.282505973972768,0.002974069342017174
architecture,balanced,0,full_bp,BBB,enc3,bp_raw,final_validation_selected,1,1,1,0,6.083454442772313,7.841502600954337,6.083454442772313,0.0036664187489077447
architecture,balanced,0,hybrid_hhb,HHB,enc3,bp_raw,final_validation_selected,1,1,1,0,8.051443634500703,9.058737569252074,8.051443634500703,0.013791940584778785
architecture,balanced,0,hybrid_hbb,HBB,enc2,bp_raw,final_validation_selected,1,1,1,0,3.2968468977132677,5.1809877940819105,3.2968468977132677,0.002046982778701931
architecture,balanced,0,hybrid_hbb,HBB,enc3,bp_raw,final_validation_selected,1,1,1,0,2.4233853463156945,3.844224774772622,2.4233853463156945,0.0024348872620612383
architecture,balanced,1,full_hebbian,HHH,enc1,hebbian_raw,enc1_end,0.33544189322147794,58.22913414245461,0.005760722673698223,0.9420608981727406,505.57435594248255,27.037850372776525,2.2055533864079555,
architecture,balanced,1,full_hebbian,HHH,enc1,hebbian_effective,enc1_end,0.3354160064780697,0.02911470164719823,11.52013244100192,0.942070000269661,497.1249026835664,26.964655189772017,2.2055533864079555,
architecture,balanced,1,hybrid_hhb,HHB,enc1,hebbian_raw,enc1_end,0.33544189322147794,58.22913414245461,0.005760722673698223,0.9420608981727406,505.57435594248255,27.037850372776525,2.2055533864079555,
architecture,balanced,1,hybrid_hhb,HHB,enc1,hebbian_effective,enc1_end,0.3354160064780697,0.02911470164719823,11.52013244100192,0.942070000269661,497.1249026835664,26.964655189772017,2.2055533864079555,
architecture,balanced,1,hybrid_hbb,HBB,enc1,hebbian_raw,enc1_end,0.33544189322147794,58.22913414245461,0.005760722673698223,0.9420608981727406,505.57435594248255,27.037850372776525,2.2055533864079555,
architecture,balanced,1,hybrid_hbb,HBB,enc1,hebbian_effective,enc1_end,0.3354160064780697,0.02911470164719823,11.52013244100192,0.942070000269661,497.1249026835664,26.964655189772017,2.2055533864079555,
architecture,balanced,1,full_hebbian,HHH,enc2,hebbian_raw,enc2_end,0.0425865170461015,5.822793737013137,0.007313760246610829,0.9990927825145905,0.019091477197045716,-17.19160466907246,0.6016415115740611,
architecture,balanced,1,full_hebbian,HHH,enc2,hebbian_effective,enc2_end,0.041935509542549716,0.0029118790708334077,14.312153084377643,0.9991203213647027,0.01909550588032193,-17.190688317592617,0.6016415115740611,
architecture,balanced,1,hybrid_hhb,HHB,enc2,hebbian_raw,enc2_end,0.0425865170461015,5.822793737013137,0.007313760246610829,0.9990927825145905,0.019091477197045716,-17.19160466907246,0.6016415115740611,
architecture,balanced,1,hybrid_hhb,HHB,enc2,hebbian_effective,enc2_end,0.041935509542549716,0.0029118790708334077,14.312153084377643,0.9991203213647027,0.01909550588032193,-17.190688317592617,0.6016415115740611,
architecture,balanced,1,full_hebbian,HHH,enc3,hebbian_raw,enc3_end,-0.0005787460255406012,1542.9601354561712,-3.750881258938442e-07,0.9999998325205485,2.3040349197755545,3.6248905693472855,3.0176032387948806,
architecture,balanced,1,full_hebbian,HHH,enc3,hebbian_effective,enc3_end,-0.0003290187266096823,0.7705322929071872,-0.0004270018656347743,0.99999994586738,2.3071834593666467,3.6308212951144734,3.0176032387948806,
architecture,balanced,1,full_bp,BBB,enc1,bp_raw,final_validation_selected,1,1,1,0,1.506294677298877,1.7790994145694452,1.506294677298877,0.0004876690037781373
architecture,balanced,1,full_bp,BBB,enc2,bp_raw,final_validation_selected,1,1,1,0,2.1295903481396903,3.2829606979890773,2.1295903481396903,0.0013587936130352318
architecture,balanced,1,full_bp,BBB,enc3,bp_raw,final_validation_selected,1,1,1,0,5.482630913792094,7.389890105198687,5.482630913792094,0.003443035497330129
architecture,balanced,1,hybrid_hhb,HHB,enc3,bp_raw,final_validation_selected,1,1,1,0,7.578053957470441,8.795576932256257,7.578053957470441,0.015993757024407387
architecture,balanced,1,hybrid_hbb,HBB,enc2,bp_raw,final_validation_selected,1,1,1,0,1.8111148416519587,2.57945989526886,1.8111148416519587,0.0015396216954104603
architecture,balanced,1,hybrid_hbb,HBB,enc3,bp_raw,final_validation_selected,1,1,1,0,3.7015249767103704,5.683806842088037,3.7015249767103704,0.0026608412247151134
architecture,balanced,2,full_hebbian,HHH,enc1,hebbian_raw,enc1_end,0.22936877903044836,96.36596885171723,0.0023801844357914746,0.9733395925794553,425.01599365390695,26.28405273167829,0.5539105721456228,
architecture,balanced,2,full_hebbian,HHH,enc1,hebbian_effective,enc1_end,0.22939679408625802,0.04818335830879961,4.7607109804955465,0.9733328741375352,416.86556337247293,26.199960202041947,0.5539105721456228,
architecture,balanced,2,hybrid_hhb,HHB,enc1,hebbian_raw,enc1_end,0.22936877903044836,96.36596885171723,0.0023801844357914746,0.9733395925794553,425.01599365390695,26.28405273167829,0.5539105721456228,
architecture,balanced,2,hybrid_hhb,HHB,enc1,hebbian_effective,enc1_end,0.22939679408625802,0.04818335830879961,4.7607109804955465,0.9733328741375352,416.86556337247293,26.199960202041947,0.5539105721456228,
architecture,balanced,2,hybrid_hbb,HBB,enc1,hebbian_raw,enc1_end,0.22936877903044836,96.36596885171723,0.0023801844357914746,0.9733395925794553,425.01599365390695,26.28405273167829,0.5539105721456228,
architecture,balanced,2,hybrid_hbb,HBB,enc1,hebbian_effective,enc1_end,0.22939679408625802,0.04818335830879961,4.7607109804955465,0.9733328741375352,416.86556337247293,26.199960202041947,0.5539105721456228,
architecture,balanced,2,full_hebbian,HHH,enc2,hebbian_raw,enc2_end,0.012317054516570365,2.8562249249772744,0.004312354555533,0.999924142069679,0.01381880734378337,-18.595294378854774,1.3002670011313386,
architecture,balanced,2,full_hebbian,HHH,enc2,hebbian_effective,enc2_end,0.009900409640685672,0.0014283477501133705,6.869039726489419,0.9999509923099723,0.013821606417463451,-18.59441478112635,1.3002670011313386,
architecture,balanced,2,hybrid_hhb,HHB,enc2,hebbian_raw,enc2_end,0.012317054516570365,2.8562249249772744,0.004312354555533,0.999924142069679,0.01381880734378337,-18.595294378854774,1.3002670011313386,
architecture,balanced,2,hybrid_hhb,HHB,enc2,hebbian_effective,enc2_end,0.009900409640685672,0.0014283477501133705,6.869039726489419,0.9999509923099723,0.013821606417463451,-18.59441478112635,1.3002670011313386,
architecture,balanced,2,full_hebbian,HHH,enc3,hebbian_raw,enc3_end,0.0008418891463954116,867.0194357704502,9.71015310220241e-07,0.9999996456067443,1.3744181325797098,1.3811887613455074,4.124598140609279,
architecture,balanced,2,full_hebbian,HHH,enc3,hebbian_effective,enc3_end,0.00039580959605551105,0.43319654859552803,0.0009136951744248501,0.9999999216628532,1.3758763126575315,1.3857939382337832,4.124598140609279,
architecture,balanced,2,full_bp,BBB,enc1,bp_raw,final_validation_selected,1,1,1,0,35.94485132003092,15.556366915635316,35.94485132003092,0.002454796484671533
architecture,balanced,2,full_bp,BBB,enc2,bp_raw,final_validation_selected,1,1,1,0,12.570205303440282,10.99342370877931,12.570205303440282,0.0026170816924422978
architecture,balanced,2,full_bp,BBB,enc3,bp_raw,final_validation_selected,1,1,1,0,6.055304816082957,7.821360098425478,6.055304816082957,0.0034347920631989837
architecture,balanced,2,hybrid_hhb,HHB,enc3,bp_raw,final_validation_selected,1,1,1,0,10.203338431911106,10.087422918933832,10.203338431911106,0.016576680187135935
architecture,balanced,2,hybrid_hbb,HBB,enc2,bp_raw,final_validation_selected,1,1,1,0,16.15858197845042,12.084032459215274,16.15858197845042,0.003902494846843183
architecture,balanced,2,hybrid_hbb,HBB,enc3,bp_raw,final_validation_selected,1,1,1,0,8.373685372596698,9.22916638963606,8.373685372596698,0.0037941018305718897
architecture,balanced,3,full_hebbian,HHH,enc1,hebbian_raw,enc1_end,0.5748699537341684,117.66612212316076,0.004885602954879869,0.8182447894842858,495.24554136644895,26.948205743293844,1.012538652497342,
architecture,balanced,3,full_hebbian,HHH,enc1,hebbian_effective,enc1_end,0.5747478141972073,0.05883234824995572,9.769053119144731,0.8183300831757615,489.988543070083,26.901859254578753,1.012538652497342,
architecture,balanced,3,hybrid_hhb,HHB,enc1,hebbian_raw,enc1_end,0.5748699537341684,117.66612212316076,0.004885602954879869,0.8182447894842858,495.24554136644895,26.948205743293844,1.012538652497342,
architecture,balanced,3,hybrid_hhb,HHB,enc1,hebbian_effective,enc1_end,0.5747478141972073,0.05883234824995572,9.769053119144731,0.8183300831757615,489.988543070083,26.901859254578753,1.012538652497342,
architecture,balanced,3,hybrid_hbb,HBB,enc1,hebbian_raw,enc1_end,0.5748699537341684,117.66612212316076,0.004885602954879869,0.8182447894842858,495.24554136644895,26.948205743293844,1.012538652497342,
architecture,balanced,3,hybrid_hbb,HBB,enc1,hebbian_effective,enc1_end,0.5747478141972073,0.05883234824995572,9.769053119144731,0.8183300831757615,489.988543070083,26.901859254578753,1.012538652497342,
architecture,balanced,3,full_hebbian,HHH,enc2,hebbian_raw,enc2_end,-0.007798300266753411,3.9028057941792107,-0.001998126663736811,0.9999695926003701,0.020345461605127166,-16.91532452270006,0.6602557374107998,
architecture,balanced,3,full_hebbian,HHH,enc2,hebbian_effective,enc2_end,-0.007390942777821377,0.001951517246746241,-3.7505821775399446,0.9999726879457189,0.02034378910313187,-16.9156815498634,0.6602557374107998,
architecture,balanced,3,hybrid_hhb,HHB,enc2,hebbian_raw,enc2_end,-0.007798300266753411,3.9028057941792107,-0.001998126663736811,0.9999695926003701,0.020345461605127166,-16.91532452270006,0.6602557374107998,
architecture,balanced,3,hybrid_hhb,HHB,enc2,hebbian_effective,enc2_end,-0.007390942777821377,0.001951517246746241,-3.7505821775399446,0.9999726879457189,0.02034378910313187,-16.9156815498634,0.6602557374107998,
architecture,balanced,3,full_hebbian,HHH,enc3,hebbian_raw,enc3_end,-0.00011395801102504837,851.2775879121358,-1.3386704013153374e-07,0.999999993498462,0.8641301159722321,-0.6342085891676276,1.596322991409835,
architecture,balanced,3,full_hebbian,HHH,enc3,hebbian_effective,enc3_end,0.00012798288449116242,0.4255402345376953,0.0003007538983969614,0.9999999918018667,0.8645023969348514,-0.6323379825571931,1.596322991409835,
architecture,balanced,3,full_bp,BBB,enc1,bp_raw,final_validation_selected,1,1,1,0,0.9383277964017339,-0.2764541823134009,0.9383277964017339,0.0005380974186118692
architecture,balanced,3,full_bp,BBB,enc2,bp_raw,final_validation_selected,1,1,1,0,1.658338954228411,2.196733023939885,1.658338954228411,0.0011149082984775304
architecture,balanced,3,full_bp,BBB,enc3,bp_raw,final_validation_selected,1,1,1,0,6.077120529509909,7.836978499365817,6.077120529509909,0.0033260872960090638
architecture,balanced,3,hybrid_hhb,HHB,enc3,bp_raw,final_validation_selected,1,1,1,0,8.1145753352338,9.092657965725445,8.1145753352338,0.013319540824741126
architecture,balanced,3,hybrid_hbb,HBB,enc2,bp_raw,final_validation_selected,1,1,1,0,6.959537935075497,8.425804064340584,6.959537935075497,0.0024526668316684663
architecture,balanced,3,hybrid_hbb,HBB,enc3,bp_raw,final_validation_selected,1,1,1,0,6.420506686211862,8.075693025770732,6.420506686211862,0.003441320080310106
architecture,balanced,4,full_hebbian,HHH,enc1,hebbian_raw,enc1_end,0.337764807102049,92.01952219362259,0.003670577711965578,0.9412305427026182,428.02955429875,26.31473756923763,2.068209719208126,
architecture,balanced,4,full_hebbian,HHH,enc1,hebbian_effective,enc1_end,0.3377262846725882,0.04600990113485454,7.340105823194239,0.9412442146072203,423.03841416369715,26.263798054408625,2.068209719208126,
architecture,balanced,4,hybrid_hhb,HHB,enc1,hebbian_raw,enc1_end,0.337764807102049,92.01952219362259,0.003670577711965578,0.9412305427026182,428.02955429875,26.31473756923763,2.068209719208126,
architecture,balanced,4,hybrid_hhb,HHB,enc1,hebbian_effective,enc1_end,0.3377262846725882,0.04600990113485454,7.340105823194239,0.9412442146072203,423.03841416369715,26.263798054408625,2.068209719208126,
architecture,balanced,4,hybrid_hbb,HBB,enc1,hebbian_raw,enc1_end,0.337764807102049,92.01952219362259,0.003670577711965578,0.9412305427026182,428.02955429875,26.31473756923763,2.068209719208126,
architecture,balanced,4,hybrid_hbb,HBB,enc1,hebbian_effective,enc1_end,0.3377262846725882,0.04600990113485454,7.340105823194239,0.9412442146072203,423.03841416369715,26.263798054408625,2.068209719208126,
architecture,balanced,4,full_hebbian,HHH,enc2,hebbian_raw,enc2_end,0.10133703138379713,4.70367448144216,0.021544227231181948,0.9948521526397709,0.01336615200576283,-18.73993604196267,0.9457123399406111,
architecture,balanced,4,full_hebbian,HHH,enc2,hebbian_effective,enc2_end,0.10042706458364348,0.002351792817117942,42.484158184335975,0.9949444329736956,0.013364823497966178,-18.740367723631486,0.9457123399406111,
architecture,balanced,4,hybrid_hhb,HHB,enc2,hebbian_raw,enc2_end,0.10133703138379713,4.70367448144216,0.021544227231181948,0.9948521526397709,0.01336615200576283,-18.73993604196267,0.9457123399406111,
architecture,balanced,4,hybrid_hhb,HHB,enc2,hebbian_effective,enc2_end,0.10042706458364348,0.002351792817117942,42.484158184335975,0.9949444329736956,0.013364823497966178,-18.740367723631486,0.9457123399406111,
architecture,balanced,4,full_hebbian,HHH,enc3,hebbian_raw,enc3_end,-0.0003861602054314639,897.6303676187083,-4.3019957808944015e-07,0.9999999254359123,0.9675411677292599,-0.14330547200749905,7.334672294273067,
architecture,balanced,4,full_hebbian,HHH,enc3,hebbian_effective,enc3_end,-0.00011008694887457214,0.4483860375042795,-0.0002455182357627397,0.999999993936199,0.9691164848628255,-0.1362401893197729,7.334672294273067,
architecture,balanced,4,full_bp,BBB,enc1,bp_raw,final_validation_selected,1,1,1,0,13.284956829802534,11.23360147484798,13.284956829802534,0.0016055105533450843
architecture,balanced,4,full_bp,BBB,enc2,bp_raw,final_validation_selected,1,1,1,0,4.969071322418628,6.96275230335903,4.969071322418628,0.0021496490365825595
architecture,balanced,4,full_bp,BBB,enc3,bp_raw,final_validation_selected,1,1,1,0,4.983951808578103,6.975738343393575,4.983951808578103,0.003917741538025439
architecture,balanced,4,hybrid_hhb,HHB,enc3,bp_raw,final_validation_selected,1,1,1,0,8.666487150923249,9.378430974622063,8.666487150923249,0.014672128576785326
architecture,balanced,4,hybrid_hbb,HBB,enc2,bp_raw,final_validation_selected,1,1,1,0,3.6152383714173983,5.581369378624244,3.6152383714173983,0.0022692229156382384
architecture,balanced,4,hybrid_hbb,HBB,enc3,bp_raw,final_validation_selected,1,1,1,0,4.814195640574509,6.825237352733473,4.814195640574509,0.003855793918482959
architecture,early_heavy,0,full_hebbian,HHH,enc1,hebbian_raw,enc1_end,0.19145154830388963,233.26743096157034,0.0008207384441151966,0.9815020651376555,449.44426871751654,26.526758467054435,0.4545338886064853,
architecture,early_heavy,0,full_hebbian,HHH,enc1,hebbian_effective,enc1_end,0.19152356291350361,0.11663436271726471,1.6420696308443699,0.9814879684307101,447.1726104100697,26.504751948961367,0.4545338886064853,
architecture,early_heavy,0,hybrid_hhb,HHB,enc1,hebbian_raw,enc1_end,0.19145154830388963,233.26743096157034,0.0008207384441151966,0.9815020651376555,449.44426871751654,26.526758467054435,0.4545338886064853,
architecture,early_heavy,0,hybrid_hhb,HHB,enc1,hebbian_effective,enc1_end,0.19152356291350361,0.11663436271726471,1.6420696308443699,0.9814879684307101,447.1726104100697,26.504751948961367,0.4545338886064853,
