sweep,case,method,noise_type,accuracy_mean,accuracy_sd,accuracy_ci_low,accuracy_ci_high,accuracy_absolute_degradation_mean,accuracy_absolute_degradation_sd,accuracy_absolute_degradation_ci_low,accuracy_absolute_degradation_ci_high,system_reconstruction_mse_increase_mean,system_reconstruction_mse_increase_sd,system_reconstruction_mse_increase_ci_low,system_reconstruction_mse_increase_ci_high,standardized_reconstruction_mse_increase_mean,standardized_reconstruction_mse_increase_sd,standardized_reconstruction_mse_increase_ci_low,standardized_reconstruction_mse_increase_ci_high,representation_cosine_mean,representation_cosine_sd,representation_cosine_ci_low,representation_cosine_ci_high,prediction_js_divergence_mean,prediction_js_divergence_sd,prediction_js_divergence_ci_low,prediction_js_divergence_ci_high
architecture,balanced,BBB,gaussian,0.59344,0.06559788868553622,0.5446,0.64388,0.3224,0.06739929524854096,0.27138,0.37277999999999994,0.030363823951750385,0.0018499801907297378,0.028867672595637182,0.03176502214422031,0.03018314378028013,0.0019033648043238786,0.028750411560340798,0.03169406363934887,0.9280662655830383,0.01018159185312372,0.9193586587905884,0.9346435070037842,0.20266295671463014,0.03937236328572672,0.17338388562202453,0.23289862871170045
architecture,balanced,BBB,pixel_masking,0.84526,0.013563849011250486,0.8351,0.8557400000000002,0.07058000000000002,0.013279005986895258,0.059820000000000054,0.08106000000000005,0.024808106879750075,0.002005112661451537,0.023212593386416534,0.02640362037308362,0.026577339460703786,0.0026521621459093475,0.024845204809928422,0.028843169202366653,0.973806631565094,0.002837098098891418,0.9718374490737915,0.9760877966880799,0.05024620294570923,0.006397830226796323,0.04533693939447403,0.05515546649694443
architecture,balanced,BBB,salt_pepper,0.3562,0.0749090114739208,0.29864000000000007,0.41376,0.5596400000000001,0.07432568869509384,0.5024,0.61688,0.05738937523077945,0.0021557697818907957,0.05590458745927227,0.059182358123428966,0.05762233668375989,0.0026312926520539745,0.055575173570574544,0.059669499796945226,0.8851604223251343,0.013949775567409502,0.8730165839195252,0.895105528831482,0.3603508293628693,0.05961889025700252,0.3141552686691284,0.4065463900566101
architecture,balanced,HBB,gaussian,0.67516,0.03255953009488925,0.64988,0.70012,0.24122,0.031704763049106646,0.21703999999999998,0.26575999999999994,0.029048188658003904,0.0014076010298093593,0.02796446679305057,0.030131910522957238,0.028708221731575168,0.001816038223538387,0.02715265038334594,0.030033604202465137,0.9341599464416503,0.005679877798022754,0.9298725366592407,0.938693106174469,0.15505194365978242,0.014447778534537966,0.1442200005054474,0.16598861217498778
architecture,balanced,HBB,pixel_masking,0.84752,0.009719927983272337,0.8390600000000001,0.85538,0.06885999999999999,0.009975119046908662,0.06172,0.07748,0.0275888919760743,0.0007875354994921818,0.02705080067824344,0.02825810818497016,0.029475752484263207,0.0015925161582331427,0.028263987198070606,0.030687517770455808,0.9727904438972473,0.002470270243443935,0.9708539009094238,0.9747484564781189,0.05067480504512787,0.0050019239079954715,0.047226646542549135,0.05523565784096718
architecture,balanced,HBB,salt_pepper,0.4015600000000001,0.09255605328664353,0.32904000000000005,0.48084,0.51482,0.09169333127332653,0.437,0.5859599999999999,0.05610331153874495,0.002320932556778777,0.05425812088912848,0.0578795333800024,0.056986248437725776,0.00349787477695519,0.05419802314855614,0.059564073157991684,0.895839536190033,0.008280236084429926,0.88869149684906,0.9016608357429504,0.33091185986995697,0.06591820418171661,0.27551369965076444,0.38215285539627075
architecture,balanced,HHB,gaussian,0.49168,0.06088264941672626,0.44728,0.5436799999999999,0.42817999999999995,0.061962262708845625,0.3756,0.47386,0.04750289347736203,0.0029073477244657463,0.04523221056724082,0.049581229370467515,0.05355925853242679,0.00632641966060799,0.049456268217514976,0.05913354365037412,0.9102998733520508,0.010521065224520409,0.9009638547897338,0.9160312175750732,0.2709861546754837,0.043755790576949866,0.23261859118938447,0.301893538236618
architecture,balanced,HHB,pixel_masking,0.8270800000000001,0.010600566022623508,0.8188599999999999,0.8352999999999999,0.09277999999999997,0.010808653940246236,0.08423999999999998,0.101,0.02859697769388861,0.001361195662329492,0.02761124544912455,0.029717161230846324,0.028316838641069368,0.0009512078659624593,0.027589567810369996,0.029044109471768748,0.9737095713615418,0.0008116431016958115,0.973233437538147,0.9744371175765991,0.0637996718287468,0.00525883288760003,0.05966278463602066,0.06793655902147293
architecture,balanced,HHB,salt_pepper,0.35302,0.04561010852870228,0.31692,0.38682,0.56684,0.047915373315878494,0.53268,0.60488,0.07130634225173874,0.00304069176533182,0.06898244827017494,0.07372624535171353,0.0784105404108398,0.005841368707057837,0.07529172388952607,0.0836493172631945,0.8786177635192871,0.008449593048904438,0.870884358882904,0.8833271741867066,0.3800286591053009,0.03226416685558611,0.353591775894165,0.40430145859718325
architecture,balanced,HHH,gaussian,0.37901999999999997,0.08976002450980056,0.31758000000000003,0.45402,0.51508,0.09656964844090506,0.43552,0.5840799999999999,0.05300173214114441,0.006836894276848836,0.04879917784204289,0.059099839221020134,0.05139116678666096,0.0078795889036415,0.04614155711894132,0.05816695352748948,0.9997284889221192,7.182564227963113e-05,0.9996671676635742,0.9997798442840576,0.34637546837329863,0.06863028495937315,0.2896973878145218,0.39825342297554017
architecture,balanced,HHH,pixel_masking,0.8023,0.008826947377208018,0.79552,0.8089999999999999,0.09179999999999999,0.006614378277661458,0.08660000000000001,0.09699999999999998,0.021220813138533613,0.0015009315850851273,0.020069334204926785,0.022372292072140438,0.02144621682536845,0.0007265987593465881,0.020809164666934894,0.0219261810435081,0.9999394893646241,6.207244991888687e-06,0.999934196472168,0.9999438643455505,0.0711817428469658,0.0015522529011621012,0.07010514438152313,0.07240034192800522
architecture,balanced,HHH,salt_pepper,0.28472,0.060835285813415886,0.23992,0.33112,0.60938,0.06815505850632074,0.55808,0.6613999999999999,0.08135996836681755,0.00853080001694017,0.07578867572005914,0.08862921222608915,0.07981991257492377,0.0100819475570249,0.07277369838558898,0.08807823346429941,0.9995957851409912,0.0001008144916446164,0.9995108723640442,0.999669885635376,0.4243484318256378,0.05297934524348366,0.38484365344047544,0.464745956659317
architecture,early_heavy,BBB,gaussian,0.488,0.06727454942249705,0.44876000000000005,0.5487599999999999,0.43078000000000005,0.06794823029336379,0.3691,0.47067999999999993,0.03646201251720895,0.003301113414851563,0.033551128975712524,0.03860143260566555,0.0376713178254147,0.0047854413068689015,0.03372147785215962,0.041191358701160974,0.9170074343681336,0.008095015982138375,0.9128043293952942,0.9243360996246338,0.2689327925443649,0.04361505829317988,0.23089787662029265,0.29684869647026063
architecture,early_heavy,BBB,pixel_masking,0.8593599999999999,0.011157194987988698,0.85076,0.8679600000000001,0.05941999999999996,0.011465905982520523,0.05077999999999996,0.06883999999999994,0.02355997175459959,0.002985910164426278,0.021365083366462166,0.02610199689869978,0.026724257457596916,0.002877359434396246,0.024222626903203072,0.02877697113212274,0.9720871090888977,0.0032897251182914945,0.9695938110351563,0.974808645248413,0.0434400700032711,0.007391926253014341,0.0380614772439003,0.04951444715261459
architecture,early_heavy,BBB,salt_pepper,0.24011999999999997,0.06756990454336902,0.18515999999999996,0.28722000000000003,0.67866,0.06833906642616654,0.6317,0.73424,0.07283409491217865,0.00520859333935556,0.068596715973494,0.07664547016669292,0.0756918782519321,0.007795780156620881,0.06995204514036374,0.08177352071693966,0.8646075367927551,0.011919239959692182,0.8568819880485534,0.8751619696617127,0.45863754153251646,0.0652513288637681,0.41566661596298216,0.5140651226043701
architecture,early_heavy,HBB,gaussian,0.5235000000000001,0.0861069102917995,0.45915999999999996,0.5964600000000001,0.39526,0.08811114004483203,0.32075999999999993,0.4622,0.03893515355567543,0.0062474605873809866,0.03555913696084704,0.044541289952725785,0.03937411026925457,0.00931948961553718,0.033919957075897525,0.04773370949725715,0.9195127725601197,0.009269253574146432,0.9114815354347229,0.9259143590927124,0.2462264448404312,0.06025234333521169,0.19919736683368683,0.2962566077709198
architecture,early_heavy,HBB,pixel_masking,0.85904,0.0058067202446820355,0.85402,0.8632,0.059719999999999995,0.006354683312329584,0.05477999999999998,0.06466000000000001,0.02545109067109167,0.0016357321112272036,0.0241716352771253,0.026710047645666164,0.026281472213024994,0.0018372722313524917,0.02464525599499138,0.027529041886232335,0.9721590757369996,0.0021869142347356956,0.9705153107643127,0.973880124092102,0.04484371989965439,0.003835429290070542,0.04193749502301216,0.04774994477629661
architecture,early_heavy,HBB,salt_pepper,0.27302000000000004,0.050548511352956786,0.23535999999999996,0.31098,0.64574,0.05041768538915684,0.60822,0.6827,0.07125244884267144,0.006264393674680839,0.0678570766962791,0.07687149029439808,0.07239434899612349,0.005836485921277746,0.06798985001067726,0.07704202375655271,0.870050060749054,0.01335823772776315,0.85985107421875,0.8804477453231812,0.4326868116855621,0.043251067097370886,0.4007231771945953,0.46736469864845276
architecture,early_heavy,HHB,gaussian,0.52878,0.07126515277469064,0.47452000000000005,0.5858999999999999,0.39202,0.07114781795670196,0.33465999999999996,0.44610000000000005,0.058247419080247685,0.007099516908473117,0.0518611190444596,0.0621455527546941,0.06120422961711884,0.011253215269634655,0.05173065091094192,0.06934186593746652,0.9117988228797913,0.013564211069195158,0.901456069946289,0.9222441911697388,0.24911168217658997,0.0570555521935834,0.20255462527275087,0.2920947790145874
