case,seed,method,layer,representation_layer,rule,alignment,update_snr_linear,winner_entropy,winner_coverage_ratio,effective_rank,linear_probe_cv_accuracy
balanced,0,HHH,enc1,h1,hebbian_raw,0.36250712677130614,445.95718634156543,0.644395082748999,0.9375,1.3588979863432997,0.8945000000000001
balanced,0,HHH,enc1,h1,hebbian_effective,0.3627579445501469,438.4414077882893,0.644395082748999,0.9375,1.3588979863432997,0.8945000000000001
balanced,0,HHB,enc1,h1,hebbian_raw,0.36250712677130614,445.95718634156543,0.644395082748999,0.9375,1.3588979863432997,0.8945000000000001
balanced,0,HHB,enc1,h1,hebbian_effective,0.3627579445501469,438.4414077882893,0.644395082748999,0.9375,1.3588979863432997,0.8945000000000001
balanced,0,HBB,enc1,h1,hebbian_raw,0.36250712677130614,445.95718634156543,0.644395082748999,0.9375,1.3588979863432997,0.8945000000000001
balanced,0,HBB,enc1,h1,hebbian_effective,0.3627579445501469,438.4414077882893,0.644395082748999,0.9375,1.3588979863432997,0.8945000000000001
balanced,0,HHH,enc2,h2,hebbian_raw,0.03327219358710542,0.023695704077297805,0.41772551488886867,0.28125,1.0511373537594146,0.9040000000000001
balanced,0,HHH,enc2,h2,hebbian_effective,0.033257464568128,0.02369393634256313,0.41772551488886867,0.28125,1.0511373537594146,0.9040000000000001
balanced,0,HHB,enc2,h2,hebbian_raw,0.03327219358710542,0.023695704077297805,0.41772551488886867,0.28125,1.0511373537594146,0.9040000000000001
balanced,0,HHB,enc2,h2,hebbian_effective,0.033257464568128,0.02369393634256313,0.41772551488886867,0.28125,1.0511373537594146,0.9040000000000001
balanced,0,HHH,enc3,z,hebbian_raw,-0.00017556993615663443,0.9488917333881128,0.4678924870096007,0.109375,1.0157807634039004,0.8594999999999999
balanced,0,HHH,enc3,z,hebbian_effective,0.00014485032794044194,0.9499663237316476,0.4678924870096007,0.109375,1.0157807634039004,0.8594999999999999
balanced,0,BBB,enc1,h1,bp_raw,1,35.74505579791076,0.7854660798995308,1,1.8115943054584107,0.9015000000000001
balanced,0,BBB,enc2,h2,bp_raw,1,13.282505973972768,0.9449302953263642,1,4.94383845129309,0.9199999999999999
balanced,0,BBB,enc3,z,bp_raw,1,6.083454442772313,0.8964696946312127,0.859375,20.10801888670681,0.8615
