sweep,case,seed,method,effective_rank_z_minus_h2,effective_rank_z_over_h2,linear_probe_z_minus_h2,separability_z_over_h2
dimension,L16,0,BBB,2.1943141049243593,1.3057620289356562,-0.02200000000000002,3.2194260638783216
dimension,L16,0,HHH,-0.037796774506031916,0.9640420213677585,-0.27000000000000013,1.869497650542623
dimension,L16,0,HHB,6.416980392841846,7.104797217881547,-0.025000000000000244,3.9836316949439876
dimension,L16,0,HBB,2.4578647328574936,1.3978356587224474,-0.012499999999999845,2.8333491059925713
dimension,L16,1,BBB,-6.85297709241781,0.23234022403394178,-0.3135,3.89547501399392
dimension,L16,1,HHH,-0.009987943673037236,0.9902600062725342,-0.1935,1.9561166743790595
dimension,L16,1,HHB,-1.0254568896561254,0.0,-0.799,0.0
dimension,L16,1,HBB,-6.773293267409462,0.18591514600731657,-0.38249999999999995,7.525334676022642
dimension,L16,2,BBB,3.4351369911234144,1.5983111896247064,-0.01650000000000007,2.8355198579322227
dimension,L16,2,HHH,-0.02398089969931494,0.9768535166137235,-0.3500000000000001,1.3490343053472185
dimension,L16,2,HHB,6.21221538429488,6.996061114782103,-0.020500000000000185,3.0221594603643283
dimension,L16,2,HBB,3.9222897183177095,1.6567224986602547,-0.007000000000000006,2.8820876444189536
dimension,L16,3,BBB,5.164202615044669,2.2058278776154028,-0.021499999999999964,2.7555152172323427
dimension,L16,3,HHH,-0.04346999303052024,0.9588155347119871,-0.3195,1.7175956564702706
dimension,L16,3,HHB,6.619405472411879,7.2713760895803645,-0.025499999999999967,3.726716141323142
dimension,L16,3,HBB,4.868728110884455,2.2062153563118767,-0.03650000000000009,3.1152939434149967
dimension,L16,4,BBB,-0.7529296494375366,0.8760954741981539,-0.08399999999999985,3.8859611004148795
dimension,L16,4,HHH,-0.045834844429460286,0.9566604967170779,-0.2699999999999999,1.6721245829115745
dimension,L16,4,HHB,4.172715735454732,4.945544695668355,-0.0814999999999999,3.9750059733729826
dimension,L16,4,HBB,0.0021187947750158642,1.0003002491879096,-0.06249999999999978,2.3270833147956247
dimension,L32,0,BBB,7.952420898604742,2.336125862605022,-0.033499999999999974,1.352013241224073
dimension,L32,0,HHH,-0.038205608232018795,0.9636530772164307,-0.15750000000000008,1.1171661508623878
dimension,L32,0,HHB,6.337445568602815,7.029131726635733,-0.018000000000000238,1.459877978066382
dimension,L32,0,HBB,7.160854569573411,2.2368800543575715,-0.034500000000000086,1.3433927159967116
dimension,L32,1,BBB,10.708177100944338,3.644693675729625,-0.038000000000000034,1.3921508726402085
dimension,L32,1,HHH,-0.007947212627371636,0.9922500763244795,-0.08599999999999997,1.2415218021759369
dimension,L32,1,HHB,6.916593114508943,7.744889214044229,-0.010500000000000065,1.503488601789004
dimension,L32,1,HBB,9.09432054776633,2.5497685697130277,-0.04150000000000009,1.416418919279967
dimension,L32,2,BBB,4.558153590363308,1.7257323380105998,-0.02200000000000013,1.2631561197859211
dimension,L32,2,HHH,-0.023484803198972726,0.9773323514175525,-0.1615000000000001,1.1159381113149063
dimension,L32,2,HHB,5.081000128533802,5.904206536677004,-0.007000000000000006,1.388787008482303
dimension,L32,2,HBB,3.3828727813057755,1.565528385903929,-0.030000000000000027,1.228713856677338
dimension,L32,3,BBB,4.598794238405398,1.677475040548477,-0.026999999999999913,1.1978258564286557
dimension,L32,3,HHH,-0.04387159598132162,0.9584350468942129,-0.16749999999999998,1.1011757497408443
dimension,L32,3,HHB,6.956087532809188,7.590356371445013,-0.024499999999999966,1.389587977157351
dimension,L32,3,HBB,4.452296291246827,1.7841748381895843,-0.027000000000000135,1.2603390107024475
dimension,L32,4,BBB,0.07710949882860252,1.010658068746148,-0.05600000000000005,0.9757707838995203
dimension,L32,4,HHH,-0.04523133112305966,0.9572311535448608,-0.123,1.1542474356369745
dimension,L32,4,HHB,6.282780770596375,6.940733545025977,-0.03049999999999997,1.2872670116142193
dimension,L32,4,HBB,0.37048302474484185,1.0601789658662162,-0.05049999999999988,0.856473540705677
dimension,L64,0,BBB,15.16418043541372,4.067288825234052,-0.058499999999999885,0.892610428325762
dimension,L64,0,HHH,-0.035356590355514195,0.9663634916701793,-0.044500000000000206,0.9462909822065445
dimension,L64,0,HHB,10.770887720067654,11.24688893563277,-0.02000000000000013,1.004626970776489
dimension,L64,0,HBB,13.31296940695763,3.793294081593139,-0.06450000000000011,0.9036438477836187
dimension,L64,1,BBB,17.019776097856752,5.247632452169154,-0.0625,0.9137095650035401
dimension,L64,1,HHH,-0.00899402819222117,0.9912292478767808,-0.04349999999999987,0.9715303427248595
dimension,L64,1,HHB,10.57776503456723,11.315172818346714,-0.02650000000000008,0.9838264894674605
dimension,L64,1,HBB,15.424291273451963,4.250343264114471,-0.052999999999999936,0.9215175420466041
dimension,L64,2,BBB,18.51511257130495,5.140329338748777,-0.06300000000000006,0.9183094763080447
dimension,L64,2,HHH,-0.02234423736150304,0.9784332312235215,-0.07600000000000018,0.9236773147973687
dimension,L64,2,HHB,11.40775631777371,12.010823004759157,-0.024500000000000077,0.9813414898530267
dimension,L64,2,HBB,18.224473008238633,5.447706535297191,-0.04500000000000015,0.9279148926404854
dimension,L64,3,BBB,17.64294850100576,5.55846613462808,-0.052999999999999936,0.9237703260486133
dimension,L64,3,HHH,-0.041634916304097436,0.9605541283594978,-0.06500000000000006,0.9531162582800181
dimension,L64,3,HHB,10.455508505389034,10.905787811062943,-0.028000000000000025,1.0010715659080527
dimension,L64,3,HBB,17.51061397326613,6.341245768124123,-0.05149999999999999,0.9184339076202419
dimension,L64,4,BBB,11.451456036147302,3.690149659750677,-0.055499999999999994,0.886589905094145
dimension,L64,4,HHH,-0.039066703059888575,0.9630601668535668,-0.04149999999999987,0.9430260787696755
dimension,L64,4,HHB,9.267980304080012,9.763412809939874,-0.012499999999999845,0.9764349156012546
dimension,L64,4,HBB,11.920766441860732,4.004901542165962,-0.038000000000000145,0.8997313616215981
dimension,L128,0,BBB,23.74574502836184,6.54869540699996,-0.040999999999999925,0.9513874567935346
dimension,L128,0,HHH,-0.03441138568408619,0.9672627125646205,-0.021500000000000186,1.0497910213587418
dimension,L128,0,HHB,14.345430583444214,14.647531915917062,-0.023000000000000242,0.9969499984939381
dimension,L128,0,HBB,21.62995106915561,6.2308919173657005,-0.03500000000000003,0.9680284777075803
dimension,L128,1,BBB,26.483700556271646,8.534985879415379,-0.05049999999999988,0.9586446649404404
dimension,L128,1,HHH,-0.008159474806525235,0.9920430835378546,-0.02400000000000002,1.0548393613735363
dimension,L128,1,HHB,14.708542963368894,15.343404497775841,-0.020499999999999963,1.0031265848092628
dimension,L128,1,HBB,24.185329328473266,6.517790962565652,-0.05249999999999999,0.9556865506753219
dimension,L128,2,BBB,24.058637175747073,6.940225163333027,-0.057499999999999774,0.9484492225665266
dimension,L128,2,HHH,-0.019075695601082465,0.9815880439496298,-0.01550000000000018,1.0683823068048024
dimension,L128,2,HHB,14.172070819627866,14.678953078854667,-0.026000000000000134,0.9933959878552522
dimension,L128,2,HBB,21.784778603436916,6.152768528544368,-0.05500000000000016,0.9510878723443713
dimension,L128,3,BBB,23.83161480147657,6.9617090183569434,-0.0505000000000001,0.9375074185553066
