sweep,case,seed,method_id,method,noise_type,severity,accuracy,macro_f1,classification_ce,system_reconstruction_mse,standardized_reconstruction_mse,representation_cosine,prediction_js_divergence,num_samples,num_pixels,sample_ids_sha256,accuracy_absolute_degradation,accuracy_relative_degradation,macro_f1_absolute_degradation,system_reconstruction_mse_increase,standardized_reconstruction_mse_increase
dimension,L64,0,full_bp,BBB,gaussian,0.4,0.5814,0.5665112795736038,1.242324948310852,0.030907161681506097,0.03103987141434027,0.9369511604309082,0.20751860737800598,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.3346,0.36528384279475984,0.34808474735831496,0.027763983174246182,0.027887281941880983
dimension,L64,0,full_bp,BBB,salt_pepper,0.4,0.3588,0.3022887725575174,3.2174532413482666,0.059248891838229435,0.06017351892432388,0.8951979279518127,0.35807549953460693,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.5572,0.608296943231441,0.6123072543744014,0.056105713330969524,0.05702092945186459
dimension,L64,0,full_bp,BBB,pixel_masking,0.4,0.8635,0.8614688941608863,0.43624013662338257,0.029926420211791992,0.030403089647876972,0.9738222360610962,0.04203512892127037,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.05249999999999999,0.05731441048034933,0.053127132771032426,0.026783241704532078,0.027250500175417684
dimension,L64,0,full_hebbian,HHH,gaussian,0.4,0.3127,0.26006371027921454,3.814615249633789,0.06925770571183185,0.06779648318388024,0.9997843503952026,0.3898579180240631,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.5851000000000001,0.6517041657384719,0.6362799783771755,0.05067036635924358,0.049012795335419315
dimension,L64,0,full_hebbian,HHH,salt_pepper,0.4,0.2338,0.15837153667259582,6.419345855712891,0.09993040516133211,0.09967058558561365,0.9996634721755981,0.4680311381816864,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.664,0.7395856538204499,0.7379721519837943,0.08134306580874384,0.08088689773715273
dimension,L64,0,full_hebbian,HHH,pixel_masking,0.4,0.8135,0.8103858900364751,0.6058929562568665,0.039398519103381095,0.04006456114710594,0.999940812587738,0.07060135900974274,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.08430000000000004,0.09389619068834934,0.08595779861991504,0.02081117975079283,0.02128087329864502
dimension,L64,0,hybrid_hhb,HHB,gaussian,0.4,0.5789,0.5473151191367611,1.3387600183486938,0.05502293902027364,0.05886392668120715,0.9152464866638184,0.2059047818183899,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.3398,0.36987046914117777,0.37002749181207384,0.05041440336996195,0.05439033410111252
dimension,L64,0,hybrid_hhb,HHB,salt_pepper,0.4,0.4115,0.33285187139522987,3.2076287269592285,0.0780515602968177,0.08122942612317144,0.8846293687820435,0.3347340226173401,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.5072,0.5520844671818874,0.5844907395536051,0.07344302464650601,0.07675583354307682
dimension,L64,0,hybrid_hhb,HHB,pixel_masking,0.4,0.8243,0.8235669548634604,0.5183769464492798,0.033294939562739156,0.03206472829312694,0.9751230478286743,0.06255770474672318,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.09439999999999993,0.10275389136823765,0.09377565608537453,0.028686403912427473,0.02759113571303231
dimension,L64,0,hybrid_hbb,HBB,gaussian,0.4,0.6357,0.6408025046432556,1.016125202178955,0.03106581072515371,0.030785256623248665,0.9418472647666931,0.17006203532218933,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.27859999999999996,0.30471398884392425,0.27219392046091495,0.027725166256573737,0.027403268787812213
dimension,L64,0,hybrid_hbb,HBB,salt_pepper,0.4,0.4248,0.38539101595241315,2.677546977996826,0.057642274366106305,0.058270158300594406,0.9047964811325073,0.3111027479171753,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.4895,0.5353822596521929,0.5276054091517575,0.054301629897526335,0.054888170465157954
