sweep,case,method,layer,rule,alignment_mean,alignment_sd,alignment_ci_low,alignment_ci_high,norm_ratio_mean,norm_ratio_sd,norm_ratio_ci_low,norm_ratio_ci_high,alpha_star_mean,alpha_star_sd,alpha_star_ci_low,alpha_star_ci_high,scale_matched_bias_mean,scale_matched_bias_sd,scale_matched_bias_ci_low,scale_matched_bias_ci_high,update_snr_linear_mean,update_snr_linear_sd,update_snr_linear_ci_low,update_snr_linear_ci_high,matched_bp_snr_linear_mean,matched_bp_snr_linear_sd,matched_bp_snr_linear_ci_low,matched_bp_snr_linear_ci_high
architecture,balanced,BBB,enc1,bp_raw,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,17.483897284288965,17.471029519286514,3.634840355440751,31.332954213137178,17.483897284288965,17.471029519286514,3.634840355440751,31.332954213137178
architecture,balanced,BBB,enc2,bp_raw,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.921942380439956,5.631285547587934,2.508985985430966,11.334898775448945,6.921942380439956,5.631285547587934,2.508985985430966,11.334898775448945
architecture,balanced,BBB,enc3,bp_raw,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.736492502147075,0.4921418835823823,5.3023213738072625,6.07529095212948,5.736492502147075,0.4921418835823823,5.3023213738072625,6.07529095212948
architecture,balanced,HBB,enc1,hebbian_effective,0.368008968796854,0.12645275855195415,0.2777349222963018,0.47993920238735965,0.045466787561505226,0.010651035995798806,0.03614421834342247,0.05354011487028796,8.2832925313338,2.5518993844077857,6.3083478861147615,10.333911253068944,0.9213720664684695,0.059689541965554635,0.867495735748345,0.9586251994343991,453.0917662156218,37.84991411315136,423.6498725721259,482.5336598591176,1.4489482500719357,0.6981144172205592,0.9074854738773126,1.990411026266559
architecture,balanced,HBB,enc1,hebbian_raw,0.3679905119718899,0.12650905263879014,0.27767565419294005,0.48002789508132065,90.93345682411692,21.302575915110026,72.28798161774208,107.08088507454684,0.004141543933313947,0.001276391206201398,0.0031544204014959366,0.005167669737588023,0.9213713643702464,0.05973021703674766,0.8674390907716187,0.9586460638706231,459.96452632063085,37.95541637132337,430.40965644937586,489.5193961918857,1.4489482500719357,0.6981144172205592,0.9074854738773126,1.990411026266559
architecture,balanced,HBB,enc2,bp_raw,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.368264004861709,5.787492819968624,2.76623237002957,11.449279742415744,6.368264004861709,5.787492819968624,2.76623237002957,11.449279742415744
architecture,balanced,HBB,enc3,bp_raw,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.146659604481828,2.3265613445910316,3.412803257325328,7.048617556142465,5.146659604481828,2.3265613445910316,3.412803257325328,7.048617556142465
architecture,balanced,HHB,enc1,hebbian_effective,0.368008968796854,0.12645275855195415,0.2777349222963018,0.47993920238735965,0.045466787561505226,0.010651035995798806,0.03614421834342247,0.05354011487028796,8.2832925313338,2.5518993844077857,6.3083478861147615,10.333911253068944,0.9213720664684695,0.059689541965554635,0.867495735748345,0.9586251994343991,453.0917662156218,37.84991411315136,423.6498725721259,482.5336598591176,1.4489482500719357,0.6981144172205592,0.9074854738773126,1.990411026266559
architecture,balanced,HHB,enc1,hebbian_raw,0.3679905119718899,0.12650905263879014,0.27767565419294005,0.48002789508132065,90.93345682411692,21.302575915110026,72.28798161774208,107.08088507454684,0.004141543933313947,0.001276391206201398,0.0031544204014959366,0.005167669737588023,0.9213713643702464,0.05973021703674766,0.8674390907716187,0.9586460638706231,459.96452632063085,37.95541637132337,430.40965644937586,489.5193961918857,1.4489482500719357,0.6981144172205592,0.9074854738773126,1.990411026266559
architecture,balanced,HHB,enc2,hebbian_effective,0.0356259011114371,0.041100064498641,0.006442139156984261,0.07062342258683316,0.002242040328236028,0.0005728459308163075,0.0017606450506911062,0.002661776094304623,14.563299517331922,17.153703222978294,2.910342201074642,29.726733472774992,0.998687049986666,0.0021226495672965117,0.9967809225191525,0.9998588351701244,0.01806393224828931,0.004416949995208042,0.014693673142236238,0.02162811377364374,0.8872811065814439,0.27785042676275057,0.6821785224147189,1.097917136731045
architecture,balanced,HHB,enc2,hebbian_raw,0.0363428992533642,0.04122601095852626,0.00829398355990561,0.07178293314281266,4.483744743227666,1.145595525816172,3.5209410695275167,5.323142302504306,0.007530789724061819,0.008641218439895852,0.0015602227012241053,0.015251759299137935,0.9986569993879296,0.00215744962217025,0.9967146765007164,0.9998467592910674,0.018063520445803376,0.004417813446034807,0.014692279179227625,0.02162979366299081,0.8872811065814439,0.27785042676275057,0.6821785224147189,1.097917136731045
architecture,balanced,HHB,enc3,bp_raw,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.522779702007862,1.0156555397262013,7.874714103835217,9.370911280825402,8.522779702007862,1.0156555397262013,7.874714103835217,9.370911280825402
architecture,balanced,HHH,enc1,hebbian_effective,0.368008968796854,0.12645275855195415,0.2777349222963018,0.47993920238735965,0.045466787561505226,0.010651035995798806,0.03614421834342247,0.05354011487028796,8.2832925313338,2.5518993844077857,6.3083478861147615,10.333911253068944,0.9213720664684695,0.059689541965554635,0.867495735748345,0.9586251994343991,453.0917662156218,37.84991411315136,423.6498725721259,482.5336598591176,1.4489482500719357,0.6981144172205592,0.9074854738773126,1.990411026266559
architecture,balanced,HHH,enc1,hebbian_raw,0.3679905119718899,0.12650905263879014,0.27767565419294005,0.48002789508132065,90.93345682411692,21.302575915110026,72.28798161774208,107.08088507454684,0.004141543933313947,0.001276391206201398,0.0031544204014959366,0.005167669737588023,0.9213713643702464,0.05973021703674766,0.8674390907716187,0.9586460638706231,459.96452632063085,37.95541637132337,430.40965644937586,489.5193961918857,1.4489482500719357,0.6981144172205592,0.9074854738773126,1.990411026266559
architecture,balanced,HHH,enc2,hebbian_effective,0.0356259011114371,0.041100064498641,0.006442139156984261,0.07062342258683316,0.002242040328236028,0.0005728459308163075,0.0017606450506911062,0.002661776094304623,14.563299517331922,17.153703222978294,2.910342201074642,29.726733472774992,0.998687049986666,0.0021226495672965117,0.9967809225191525,0.9998588351701244,0.01806393224828931,0.004416949995208042,0.014693673142236238,0.02162811377364374,0.8872811065814439,0.27785042676275057,0.6821785224147189,1.097917136731045
