sweep,method,case,metric,value,baseline_case,baseline_value,absolute_change,relative_change,layer,noise_type,rule
architecture,HBB,late_heavy,system_training_wall_time_sec,283.58862788002006,balanced,435.8698365200338,-152.28120864001374,-0.3493731290419637,,,
architecture,HBB,early_heavy,standardized_decoder_samples_seen,500000.0,balanced,500000.0,0.0,0.0,,,
architecture,HBB,balanced,standardized_decoder_samples_seen,500000.0,balanced,500000.0,0.0,0.0,,,
architecture,HBB,late_heavy,standardized_decoder_samples_seen,500000.0,balanced,500000.0,0.0,0.0,,,
architecture,HBB,early_heavy,standardized_decoder_wall_time_sec,327.890155759966,balanced,246.48647319999182,81.40368255997416,0.3302561860825738,,,
architecture,HBB,balanced,standardized_decoder_wall_time_sec,246.48647319999182,balanced,246.48647319999182,0.0,0.0,,,
architecture,HBB,late_heavy,standardized_decoder_wall_time_sec,145.04044896000997,balanced,246.48647319999182,-101.44602423998185,-0.4115683222814063,,,
architecture,HBB,early_heavy,total_training_samples_seen,1500000.0,balanced,1500000.0,0.0,0.0,,,
architecture,HBB,balanced,total_training_samples_seen,1500000.0,balanced,1500000.0,0.0,0.0,,,
architecture,HBB,late_heavy,total_training_samples_seen,1500000.0,balanced,1500000.0,0.0,0.0,,,
architecture,HBB,early_heavy,total_training_wall_time_sec,795.2930762999458,balanced,682.3563097200256,112.93676657992023,0.16550996154231887,,,
architecture,HBB,balanced,total_training_wall_time_sec,682.3563097200256,balanced,682.3563097200256,0.0,0.0,,,
architecture,HBB,late_heavy,total_training_wall_time_sec,428.62907684003005,balanced,682.3563097200256,-253.72723287999554,-0.3718397987469344,,,
architecture,HHB,early_heavy,accuracy,0.9208000000000001,balanced,0.9198599999999999,0.0009400000000001629,0.0010218946361393486,,,
architecture,HHB,balanced,accuracy,0.9198599999999999,balanced,0.9198599999999999,0.0,0.0,,,
architecture,HHB,late_heavy,accuracy,0.79502,balanced,0.9198599999999999,-0.12483999999999995,-0.13571630465490864,,,
architecture,HHB,early_heavy,macro_f1,0.9196349112789285,balanced,0.9186179440340909,0.0010169672448375744,0.0011070622465423193,,,
architecture,HHB,balanced,macro_f1,0.9186179440340909,balanced,0.9186179440340909,0.0,0.0,,,
architecture,HHB,late_heavy,macro_f1,0.7772229548234268,balanced,0.9186179440340909,-0.14139498921066407,-0.15392143178651302,,,
architecture,HHB,early_heavy,classification_ce,0.27616521120071413,balanced,0.2773395895957947,-0.0011743783950805553,-0.004234441959000173,,,
architecture,HHB,balanced,classification_ce,0.2773395895957947,balanced,0.2773395895957947,0.0,0.0,,,
architecture,HHB,late_heavy,classification_ce,0.592417186498642,balanced,0.2773395895957947,0.31507759690284726,1.1360714759869563,,,
architecture,HHB,early_heavy,system_reconstruction_mse,0.004855286131780975,balanced,0.0046470480285372056,0.00020823810324376978,0.04481083516249088,,,
architecture,HHB,balanced,system_reconstruction_mse,0.0046470480285372056,balanced,0.0046470480285372056,0.0,0.0,,,
architecture,HHB,late_heavy,system_reconstruction_mse,0.019829834302590818,balanced,0.0046470480285372056,0.015182786274053613,3.2671894453317387,,,
architecture,HHB,early_heavy,standardized_reconstruction_mse,0.005646173668005028,balanced,0.004568547135372551,0.0010776265326324771,0.23587948213403306,,,
architecture,HHB,balanced,standardized_reconstruction_mse,0.004568547135372551,balanced,0.004568547135372551,0.0,0.0,,,
architecture,HHB,late_heavy,standardized_reconstruction_mse,0.01968901920338066,balanced,0.004568547135372551,0.01512047206800811,3.3096894081766743,,,
architecture,HHB,early_heavy,system_training_samples_seen,1500000.0,balanced,1500000.0,0.0,0.0,,,
architecture,HHB,balanced,system_training_samples_seen,1500000.0,balanced,1500000.0,0.0,0.0,,,
architecture,HHB,late_heavy,system_training_samples_seen,1500000.0,balanced,1500000.0,0.0,0.0,,,
architecture,HHB,early_heavy,system_training_wall_time_sec,570.8592812000076,balanced,579.255081860027,-8.395800660019404,-0.014494133798636535,,,
architecture,HHB,balanced,system_training_wall_time_sec,579.255081860027,balanced,579.255081860027,0.0,0.0,,,
architecture,HHB,late_heavy,system_training_wall_time_sec,353.76482001997067,balanced,579.255081860027,-225.4902618400563,-0.3892762772421288,,,
architecture,HHB,early_heavy,standardized_decoder_samples_seen,500000.0,balanced,500000.0,0.0,0.0,,,
architecture,HHB,balanced,standardized_decoder_samples_seen,500000.0,balanced,500000.0,0.0,0.0,,,
architecture,HHB,late_heavy,standardized_decoder_samples_seen,500000.0,balanced,500000.0,0.0,0.0,,,
architecture,HHB,early_heavy,standardized_decoder_wall_time_sec,260.9143579200143,balanced,257.58887043999187,3.3254874800224457,0.012910058863731618,,,
architecture,HHB,balanced,standardized_decoder_wall_time_sec,257.58887043999187,balanced,257.58887043999187,0.0,0.0,,,
architecture,HHB,late_heavy,standardized_decoder_wall_time_sec,168.43691670000553,balanced,257.58887043999187,-89.15195373998634,-0.3461017302017127,,,
architecture,HHB,early_heavy,total_training_samples_seen,2000000.0,balanced,2000000.0,0.0,0.0,,,
architecture,HHB,balanced,total_training_samples_seen,2000000.0,balanced,2000000.0,0.0,0.0,,,
architecture,HHB,late_heavy,total_training_samples_seen,2000000.0,balanced,2000000.0,0.0,0.0,,,
architecture,HHB,early_heavy,total_training_wall_time_sec,831.7736391200218,balanced,836.8439523000188,-5.070313179997015,-0.00605885143348594,,,
architecture,HHB,balanced,total_training_wall_time_sec,836.8439523000188,balanced,836.8439523000188,0.0,0.0,,,
architecture,HHB,late_heavy,total_training_wall_time_sec,522.2017367199762,balanced,836.8439523000188,-314.6422155800426,-0.37598672334939587,,,
architecture,HHH,early_heavy,accuracy,0.89726,balanced,0.8940999999999999,0.0031600000000000517,0.0035342802818437735,,,
architecture,HHH,balanced,accuracy,0.8940999999999999,balanced,0.8940999999999999,0.0,0.0,,,
