seed,method,effective_rank_z_over_h2,effective_rank_z_minus_h2,linear_probe_z_minus_h2,separability_z_over_h2
0,BBB,4.067288825234052,15.16418043541372,-0.058499999999999885,0.892610428325762
1,BBB,5.247632452169154,17.019776097856752,-0.0625,0.9137095650035401
2,BBB,5.140329338748777,18.51511257130495,-0.06300000000000006,0.9183094763080447
3,BBB,5.55846613462808,17.64294850100576,-0.052999999999999936,0.9237703260486133
4,BBB,3.690149659750677,11.451456036147302,-0.055499999999999994,0.886589905094145
0,HBB,3.793294081593139,13.31296940695763,-0.06450000000000011,0.9036438477836187
1,HBB,4.250343264114471,15.424291273451963,-0.052999999999999936,0.9215175420466041
2,HBB,5.447706535297191,18.224473008238633,-0.04500000000000015,0.9279148926404854
3,HBB,6.341245768124123,17.51061397326613,-0.05149999999999999,0.9184339076202419
4,HBB,4.004901542165962,11.920766441860732,-0.038000000000000145,0.8997313616215981
0,HHB,11.24688893563277,10.770887720067654,-0.02000000000000013,1.004626970776489
1,HHB,11.315172818346714,10.57776503456723,-0.02650000000000008,0.9838264894674605
2,HHB,12.010823004759157,11.40775631777371,-0.024500000000000077,0.9813414898530267
3,HHB,10.905787811062943,10.455508505389034,-0.028000000000000025,1.0010715659080527
4,HHB,9.763412809939874,9.267980304080012,-0.012499999999999845,0.9764349156012546
0,HHH,0.9663634916701793,-0.035356590355514195,-0.044500000000000206,0.9462909822065445
1,HHH,0.9912292478767808,-0.00899402819222117,-0.04349999999999987,0.9715303427248595
2,HHH,0.9784332312235215,-0.02234423736150304,-0.07600000000000018,0.9236773147973687
3,HHH,0.9605541283594978,-0.041634916304097436,-0.06500000000000006,0.9531162582800181
4,HHH,0.9630601668535668,-0.039066703059888575,-0.04149999999999987,0.9430260787696755
0,RBB,4.2850082808362595,14.539977206662577,-0.051000000000000156,0.9178070684603976
1,RBB,4.40189706954588,16.174175383105624,-0.06300000000000017,0.9197441302045979
2,RBB,5.257464811380426,17.188194155006396,-0.050000000000000266,0.9134926605293594
3,RBB,5.567327556842752,17.580144363941937,-0.045499999999999874,0.9207297223579352
4,RBB,3.916000716897712,11.180149699853011,-0.046499999999999986,0.9151944735798886
0,RRB,5.495576888979287,13.959742028910156,-0.034499999999999864,0.9764041434741373
1,RRB,5.38076189977941,17.65593919899878,-0.03400000000000003,0.9622224042649319
2,RRB,5.688329347467179,15.844614363788889,-0.030999999999999805,0.9728787841312685
3,RRB,4.755133898524995,14.630832922622108,-0.02750000000000008,0.9843779643131485
4,RRB,4.800901410617758,10.292475141675585,-0.012500000000000178,0.995308633439468
