contrast,left,right,metric,mean_difference,sd_difference,ci_low,ci_high,cohens_dz
HHB_minus_HHH,HHB,HHH,accuracy,0.025759999999999984,0.010491091458947437,0.01664000000000001,0.03328,2.4554165885219024
HHB_minus_HHH,HHB,HHH,macro_f1,0.025888351761389462,0.01062186219231368,0.016668275889768002,0.03351611797807079,2.4372705362458102
HHB_minus_HHH,HHB,HHH,classification_ce,-0.07791888117790222,0.029439310324900488,-0.09634326100349426,-0.05137677192687988,-2.64676313126794
HHB_minus_HHH,HHB,HHH,system_reconstruction_mse,-0.01385297492270567,0.0017816332429896312,-0.015248216785411444,-0.012457733059999896,-7.775435812737746
HHB_minus_HHH,HHB,HHH,standardized_reconstruction_mse,-0.014120287969744936,0.001746770034764499,-0.015455072770216025,-0.012754110284532822,-8.083655941377907
HHB_minus_HHH,HHB,HHH,reconstruction_aulc,-0.01528867086945474,0.0016032089786360338,-0.016491671736255285,-0.01402484303316474,-9.536293192707742
HHB_minus_HHH,HHB,HHH,system_samples_seen,-500000.0,0.0,-500000.0,-500000.0,-inf
HHB_minus_HHH,HHB,HHH,system_wall_time_sec,-116.08816157999426,70.77840670318463,-169.37850838001978,-58.6155044799958,-1.6401635327398654
HHB_minus_HHH,HHB,HHH,standardized_decoder_samples_seen,0.0,0.0,0.0,0.0,0.0
HHB_minus_HHH,HHB,HHH,standardized_decoder_wall_time_sec,15.193682840008478,41.783854750198955,-9.034705679980107,52.54848270000984,0.36362568582632104
HHB_minus_HHH,HHB,HHH,probe_samples_seen,0.0,0.0,0.0,0.0,0.0
HHB_minus_HHH,HHB,HHH,probe_wall_time_sec,0.32659282003496626,3.899144317177099,-2.7520397399319334,3.405225380001866,0.08376012618876667
HBB_minus_HHB,HBB,HHB,accuracy,-0.0034799999999999944,0.0028682747427678373,-0.005399999999999983,-0.0010399999999999964,-1.2132728947164428
HBB_minus_HHB,HBB,HHB,macro_f1,-0.003467427997961314,0.003012848217314636,-0.005469984656953275,-0.0008912331091363468,-1.1508804121077985
HBB_minus_HHB,HBB,HHB,classification_ce,0.00586390495300293,0.008511270144406913,0.0004798233509063721,0.01323704719543457,0.6889576824037632
HBB_minus_HHB,HBB,HHB,system_reconstruction_mse,-0.0013770486778629067,0.00035498925704201105,-0.001633390210404688,-0.0010839008572636815,-3.8791277497728345
HBB_minus_HHB,HBB,HHB,standardized_reconstruction_mse,-0.00125641448702131,0.0003432415343193984,-0.0015096106889296548,-0.0009692545610544632,-3.660438383462567
HBB_minus_HHB,HBB,HHB,reconstruction_aulc,-0.0017366332137733695,0.00040016972882511275,-0.0020377695807963616,-0.0014194814598113296,-4.339741586331571
HBB_minus_HHB,HBB,HHB,system_samples_seen,-500000.0,0.0,-500000.0,-500000.0,-inf
HBB_minus_HHB,HBB,HHB,system_wall_time_sec,-143.38524533999316,41.121495913603795,-174.82897955998777,-110.53263965999341,-3.48686841649062
HBB_minus_HHB,HBB,HHB,standardized_decoder_samples_seen,0.0,0.0,0.0,0.0,0.0
HBB_minus_HHB,HBB,HHB,standardized_decoder_wall_time_sec,-11.102397240000027,30.616781992801624,-37.43573910000432,10.07086732001153,-0.36262456461330045
HBB_minus_HHB,HBB,HHB,probe_samples_seen,0.0,0.0,0.0,0.0,0.0
HBB_minus_HHB,HBB,HHB,probe_wall_time_sec,-0.6237766400265172,6.806213072837686,-4.727866719994199,5.544844479923268,-0.09164812111391168
BBB_minus_HHB,BBB,HHB,accuracy,-0.004019999999999979,0.004655856526999108,-0.008160000000000011,-0.001059999999999972,-0.8634286681061101
BBB_minus_HHB,BBB,HHB,macro_f1,-0.004126338691049813,0.00476261075816972,-0.008376566542927821,-0.0010702655483455948,-0.8664026729397413
BBB_minus_HHB,BBB,HHB,classification_ce,0.00531238317489624,0.0048768481878906905,0.0014801025390625,0.009219753742218017,1.08930665262187
BBB_minus_HHB,BBB,HHB,system_reconstruction_mse,-0.001445945775995449,0.0003137721515043761,-0.0016714772209829212,-0.001160822482595638,-4.6082667600132226
