method,accuracy_mean,accuracy_sd,accuracy_ci_low,accuracy_ci_high,macro_f1_mean,macro_f1_sd,macro_f1_ci_low,macro_f1_ci_high,classification_ce_mean,classification_ce_sd,classification_ce_ci_low,classification_ce_ci_high,system_reconstruction_mse_mean,system_reconstruction_mse_sd,system_reconstruction_mse_ci_low,system_reconstruction_mse_ci_high,standardized_reconstruction_mse_mean,standardized_reconstruction_mse_sd,standardized_reconstruction_mse_ci_low,standardized_reconstruction_mse_ci_high,reconstruction_aulc_mean,reconstruction_aulc_sd,reconstruction_aulc_ci_low,reconstruction_aulc_ci_high,system_samples_seen_mean,system_samples_seen_sd,system_samples_seen_ci_low,system_samples_seen_ci_high,system_wall_time_sec_mean,system_wall_time_sec_sd,system_wall_time_sec_ci_low,system_wall_time_sec_ci_high,standardized_decoder_samples_seen_mean,standardized_decoder_samples_seen_sd,standardized_decoder_samples_seen_ci_low,standardized_decoder_samples_seen_ci_high,standardized_decoder_wall_time_sec_mean,standardized_decoder_wall_time_sec_sd,standardized_decoder_wall_time_sec_ci_low,standardized_decoder_wall_time_sec_ci_high,probe_samples_seen_mean,probe_samples_seen_sd,probe_samples_seen_ci_low,probe_samples_seen_ci_high,probe_wall_time_sec_mean,probe_wall_time_sec_sd,probe_wall_time_sec_ci_low,probe_wall_time_sec_ci_high
BBB,0.91584,0.0023786550821840273,0.9137600000000001,0.9176,0.9144916053430412,0.0023477448489302864,0.9124243285437877,0.9162802604636997,0.28265197277069093,0.003707177774501879,0.27983253002166747,0.28547141551971433,0.0032011022525417565,0.00048485001355310026,0.0029050188997327064,0.0036221256472139945,0.003234369178791435,0.0005233365257333246,0.0028800059327300713,0.003698428045535574,0.004564952911272645,0.00042562262094863074,0.004296820792749524,0.004957296808704733,500000.0,0.0,500000.0,500000.0,312.9768771000319,81.3719909021602,250.2477542600136,374.2081502000568,500000.0,0.0,500000.0,500000.0,248.2134587599907,61.43207457646099,200.8138425400037,295.6130749799777,1500000.0,0.0,1500000.0,1500000.0,43.31577983999887,8.48177845875682,35.82321730000003,49.23999914000742
HHH,0.8940999999999999,0.008167006795638157,0.8883000000000001,0.9013199999999999,0.8927295922727015,0.008253533092040856,0.8868810729959229,0.8999729301696521,0.3552584707736969,0.024984076658758708,0.3324612081050873,0.370277601480484,0.018500022951242874,0.0015114239059349313,0.017325575389083553,0.019674470513402202,0.018688835105117485,0.001462081046428026,0.017493020102053274,0.019767667216865382,0.021681409608364104,0.001299713879027526,0.020660612246632577,0.022657053573906422,2000000.0,0.0,2000000.0,2000000.0,695.3432434400213,182.27000193517483,543.7758412400096,826.7833316600415,500000.0,0.0,500000.0,500000.0,242.39518759998336,57.351305305355055,194.32856593999077,284.97251069997435,1500000.0,0.0,1500000.0,1500000.0,42.462984219980534,9.9281377078486,33.67772957998477,48.848188139963895
HHB,0.9198599999999999,0.0028254203227130814,0.91766,0.9222400000000001,0.9186179440340909,0.0029015694172393907,0.916382821172865,0.9211106805312482,0.2773395895957947,0.00559195194125449,0.2730044424533844,0.281554514169693,0.0046470480285372056,0.0002787657807319296,0.004426253727990754,0.004867842329083657,0.004568547135372551,0.00034575618626498126,0.004305969978060041,0.00484556265422276,0.0063927387389093645,0.0003040378557032254,0.0061653818376511335,0.006635769213467836,1500000.0,0.0,1500000.0,1500000.0,579.255081860027,133.6223392100284,464.6897318200201,666.4183165400522,500000.0,0.0,500000.0,500000.0,257.58887043999187,47.00296167597084,216.4603555799944,285.6646349999857,1500000.0,0.0,1500000.0,1500000.0,42.7895770400155,7.648911591494001,35.95748053999923,46.66932106003041
HBB,0.91638,0.0018593009439033796,0.9149800000000001,0.9177799999999999,0.9151505160361297,0.0018305255631996028,0.9137542092121638,0.9164869524195935,0.2832034945487976,0.007430886663399658,0.2776042759418488,0.2886632025241852,0.0032699993506742986,0.000517092367223824,0.0029303990406892738,0.0037217697432576392,0.003312132648351241,0.0006059456811933659,0.0029093423312050956,0.0038482087160616506,0.0046561055251359935,0.00047687308079772257,0.0043300225634947415,0.00506649454253912,1000000.0,0.0,1000000.0,1000000.0,435.8698365200338,96.5793178571586,349.7394341800065,495.5024967800593,500000.0,0.0,500000.0,500000.0,246.48647319999182,39.94059301650886,215.03748766000172,276.1966531799873,1500000.0,0.0,1500000.0,1500000.0,42.16580039998898,11.28822886940223,32.88039749999571,51.19042011997662
Random,0.8080400000000001,0.027290071454651815,0.78438,0.82782,0.8049580599459649,0.027812660528433307,0.7807501460720783,0.8250492256317103,0.6078849315643311,0.08016215499777328,0.5484206438064575,0.674744713306427,0.01944615128419837,0.0024082872766096964,0.017723058714185443,0.021540102606792837,0.01944615128419837,0.0024082872766096964,0.017723058714185443,0.021540102606792837,0.021437012174844738,0.00249282572821165,0.019695698739826677,0.023529693880856035,500000.0,0.0,500000.0,500000.0,223.24872250001118,45.11769396642123,188.78163293999987,257.3842923800228,500000.0,0.0,500000.0,500000.0,226.48242623998559,43.60088231882111,192.41665858000997,260.5481938999612,1500000.0,0.0,1500000.0,1500000.0,43.710042079990124,6.88350655333433,38.55948539999845,49.09100099998668
RBB,0.9152799999999999,0.0016238842323269297,0.9139200000000001,0.91646,0.9139895064884407,0.0016984193198052418,0.9125624341179635,0.9152221411979096,0.28530401587486265,0.004389366537670921,0.28190717101097107,0.2887008607387543,0.0033087825171801513,0.00044388646782126827,0.002981182183440851,0.003694282040401381,0.0033021578479299736,0.0004412977385917648,0.003011808262552534,0.003691925343104771,0.004723965119957924,0.0004379376673965842,0.004379678463481367,0.005096024734526873,500000.0,0.0,500000.0,500000.0,208.7488188800002,5.120617026536607,204.52647096000038,212.3447043000004,500000.0,0.0,500000.0,500000.0,196.33274369999998,18.405750598532027,183.58541100000002,211.34637522000048,1500000.0,0.0,1500000.0,1500000.0,30.826846300000035,5.9741412105616245,26.909143039999982,36.06862104000065
RRB,0.9164,0.0012083045973594667,0.9153399999999999,0.9170999999999999,0.9151414181098904,0.0011752646757159594,0.9141038047666077,0.9158588213463801,0.2859396398067474,0.006572518843275436,0.28093281388282776,0.29086700081825256,0.0046166692974129505,0.0003730016979354597,0.004313091780506834,0.004899342653508089,0.004558687597391557,0.0003984991260735906,0.004245892461757271,0.004864693241605953,0.00624034055955708,0.0004685750050253502,0.005870056556135416,0.006596659936100244,500000.0,0.0,500000.0,500000.0,189.87820418000084,6.427922875741601,184.15300296000095,194.16637116000055,500000.0,0.0,500000.0,500000.0,182.7923520000004,9.734848650331735,176.08093692000003,191.14497656000094,1500000.0,0.0,1500000.0,1500000.0,29.236034299999666,1.0388730196943938,28.447951380000084,30.024117219999244
