sweep,case,method,layer,effective_rank_mean,effective_rank_sd,effective_rank_ci_low,effective_rank_ci_high,stable_rank_mean,stable_rank_sd,stable_rank_ci_low,stable_rank_ci_high,winner_coverage_ratio_mean,winner_coverage_ratio_sd,winner_coverage_ratio_ci_low,winner_coverage_ratio_ci_high,winner_entropy_mean,winner_entropy_sd,winner_entropy_ci_low,winner_entropy_ci_high,max_winner_share_mean,max_winner_share_sd,max_winner_share_ci_low,max_winner_share_ci_high,linear_probe_cv_accuracy_mean,linear_probe_cv_accuracy_sd,linear_probe_cv_accuracy_ci_low,linear_probe_cv_accuracy_ci_high,knn_cv_accuracy_mean,knn_cv_accuracy_sd,knn_cv_accuracy_ci_low,knn_cv_accuracy_ci_high,between_within_scatter_ratio_mean,between_within_scatter_ratio_sd,between_within_scatter_ratio_ci_low,between_within_scatter_ratio_ci_high,silhouette_score_mean,silhouette_score_sd,silhouette_score_ci_low,silhouette_score_ci_high
architecture,balanced,BBB,z,20.268654129908928,2.753912877803916,17.835624201051818,22.11647113279373,7.11449822093279,0.8104274964413252,6.4352046355012025,7.653371255526105,0.85,0.11827619292359726,0.75,0.928125,0.8938356231243503,0.02788781689291456,0.8687095946440756,0.9120986828862101,0.06735714285714287,0.01088471592722229,0.0591,0.07561428571428572,0.8605,0.004000000000000007,0.8577999999999999,0.8638999999999999,0.9241999999999999,0.005837379549078582,0.9198999999999998,0.9288000000000001,0.1097315847650618,0.0006230825445718492,0.10927641630226773,0.11026597672677299,-0.02641349345245143,0.012097929703349138,-0.03266842501018409,-0.015505850794847648
architecture,balanced,HBB,z,19.449515534707405,2.5063651115222476,17.6006145002353,21.27833010631079,6.834292415616733,0.6466600587365464,6.380856747729687,7.364404701742231,0.859375,0.1384378527083543,0.74375,0.95625,0.8872519699420677,0.03677746280471539,0.8564203890974473,0.9117504324334277,0.07105714285714286,0.00830990925562576,0.06398571428571428,0.07665714285714284,0.8633999999999998,0.010484512387326329,0.8551,0.8724000000000001,0.9232999999999999,0.00336526373409273,0.9204000000000001,0.9257,0.1091692078256417,0.0004570611519011299,0.1088187814215023,0.10951963422978113,-0.02840319284014838,0.013953362840800069,-0.03544544872617484,-0.015927995321503085
architecture,balanced,HHB,z,11.541122599872722,0.770731215887304,10.861939836736747,12.089128482778683,4.198815970361601,0.24311815396608533,3.99571001755166,4.371379987188665,0.76875,0.07022564079451322,0.715625,0.821875,0.8521405378856649,0.024791656854612296,0.8307630607683898,0.8694207144639992,0.07287142857142856,0.009783550334252752,0.06392857142857142,0.07874285714285714,0.8778,0.005674504383644489,0.8733000000000001,0.8823000000000001,0.9183,0.0024135036772294006,0.9164000000000001,0.9202,0.1094812449793292,0.0014474383353347215,0.10827361368249903,0.11065582463383869,-0.026370457594369602,0.011590534234347772,-0.03457360698713227,-0.016088653542458857
architecture,balanced,HHH,z,1.0156637284425485,0.0019901344491560463,1.014182201748871,1.0171705056415468,1.0078044760494689,0.0009881041661632282,1.0070688119511182,1.0085523151968356,0.109375,0.0,0.109375,0.109375,0.46789248700960073,6.206335383118183e-17,0.46789248700960073,0.46789248700960073,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.8459999999999999,0.014335271186831497,0.8341999999999998,0.8567,0.8242,0.015582843129544758,0.8124,0.8360000000000001,0.10483942096942958,0.0018123633961148852,0.10361386270952577,0.10641493160581998,-0.04264248287751565,0.011950344603806777,-0.051326940295558475,-0.032618032400271293
architecture,early_heavy,BBB,z,16.858641951467423,1.611408306029343,15.84581798944366,18.334650325022853,5.868803570621895,0.4253798530450291,5.588036875449659,6.244593750319003,0.775,0.09150969040216451,0.703125,0.85,0.8719267017968718,0.02340081401098391,0.8537674368709366,0.8920286345208833,0.06492857142857142,0.008687165057410495,0.05928571428571429,0.07264285714285715,0.8708,0.003290136775272402,0.8683,0.8733000000000001,0.9257,0.00805139739424156,0.9191,0.9317,0.1104180515962192,0.0006187164305735522,0.10994565606515849,0.11089044712727988,-0.029308196576537725,0.010484596468398624,-0.034519845473712445,-0.019730362084840983
architecture,early_heavy,HBB,z,15.224534669303239,2.4582182334651357,13.568628685044121,17.24447029609513,5.430264844573179,0.652527374875544,4.987059842664702,5.967180432195408,0.715625,0.1341386001958422,0.603125,0.815625,0.8521947957294052,0.039220243783640606,0.8205314821708416,0.8802603761689237,0.06962857142857143,0.008995095035288819,0.06318571428571429,0.07752857142857142,0.8739000000000001,0.015097185168103338,0.8633000000000001,0.8873,0.9268000000000001,0.007718484307168133,0.9213999999999999,0.9334,0.11027633046508793,0.0011380752788223167,0.10934507721758824,0.11108524341868412,-0.017138873846626233,0.018692701870999168,-0.03134325889310528,-0.0025611096407786105
architecture,early_heavy,HHB,z,9.956353319850072,1.0555282276030236,9.071150548315934,10.740138836669734,3.740394906994753,0.2844938178336306,3.4971948779596174,3.935840862858348,0.721875,0.08149003006503311,0.6625,0.7875,0.8372298766430044,0.02115364165792372,0.8215680283383359,0.8549771204682844,0.06472857142857143,0.005999234645063539,0.06032857142857143,0.06912857142857144,0.8854,0.0038632887544163886,0.8826,0.8883000000000001,0.9171999999999999,0.003492849839314599,0.9148000000000002,0.9202,0.1099151231965992,0.0014733593808152958,0.10877012445068637,0.111060121942512,-0.01016492007194584,0.01974515020712368,-0.025593432434149105,0.0052635922902574215
architecture,early_heavy,HHH,z,1.0197862997035798,0.003685824325305128,1.01696682932428,1.0230430848364658,1.0098520089602392,0.0018271191351433343,1.0084549052445435,1.0114652003829598,0.109375,0.0,0.109375,0.109375,0.46789248700960073,6.206335383118183e-17,0.46789248700960073,0.46789248700960073,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.8515,0.012119199643540848,0.8425,0.8603000000000002,0.8171999999999999,0.018720309826495914,0.8007,0.8290999999999998,0.10449814681285359,0.002352533815250441,0.1025268836482881,0.1063074687842386,-0.0460273820577363,0.01745860156508496,-0.059566668109963174,-0.03248809600550941
architecture,late_heavy,BBB,z,15.5331006678574,10.144493243225831,7.5676406735882775,23.303420580804016,5.883198627029359,3.0581203697425106,3.2538149368325504,8.09698516463165,0.5625,0.42173029925830563,0.23125,0.89375,0.7004845545648769,0.32066523987849327,0.41596300277404685,0.910160577628093,0.15498402670775552,0.19736385245372204,0.05527142857142857,0.3326377944089808,0.8122999999999999,0.13969905153579246,0.6855,0.8863000000000001,0.8607000000000001,0.13501231425318208,0.7384000000000001,0.9280000000000002,0.09138216268449492,0.031885314663807854,0.062319667752764187,0.10769553682413668,-0.011126638314324432,0.04483082796673311,-0.040846362765080864,0.027656211640178462
architecture,late_heavy,HBB,z,14.839699244568711,8.50383266520407,8.159859951086393,21.51953853805103,5.651209500716764,2.034396558656682,4.0704119740198275,7.232007027413701,0.55625,0.40573886113792457,0.234375,0.878125,0.7442510001988276,0.23552970149782634,0.5467342422632576,0.9151529599066791,0.09553674369532406,0.0607752397702454,0.06102857142857143,0.15041023108597218,0.8512000000000001,0.04728715470399969,0.8102,0.8814,0.9048999999999999,0.034666987178005496,0.8744999999999999,0.9282,0.09533311717986673,0.023019240282425656,0.07428781497764647,0.10838160990329578,0.006950451470056203,0.03667701610709183,-0.021697394714816028,0.03559829765492843
architecture,late_heavy,HHB,z,11.157002317962696,6.924278384016938,5.428554207897635,16.240775814198567,4.2261900855307815,1.9805132461018193,2.4453614103857833,5.528502194380375,0.5,0.39958474539201316,0.184375,0.815625,0.6394867005155827,0.3820910224252353,0.2989320256938214,0.8860893041192289,0.2658285714285714,0.4106009520650612,0.07467142857142858,0.6344857142857143,0.7539,0.2542271130308489,0.5262,0.8739000000000001,0.7843000000000001,0.27727797424245587,0.5359,0.9132000000000001,0.08647037255400382,0.03963788185989629,0.050264547009683344,0.10968530335525147,-0.02271042226550389,0.06625058843363343,-0.07552995020680045,0.029461259660155985
architecture,late_heavy,HHH,z,1.0361015627795194,0.023750964631213057,1.0203308617013769,1.0560747739958558,1.0178510605964397,0.011624747919344085,1.0101146687821756,1.0276119431268047,0.109375,0.0,0.109375,0.109375,0.46789248700960073,6.206335383118183e-17,0.46789248700960073,0.46789248700960073,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.7667,0.07257547795226704,0.7112,0.8221999999999999,0.7622,0.06931143484303295,0.7085000000000001,0.8159000000000001,0.08878643154683569,0.01181003703942008,0.0798555381615729,0.09775813494436783,-0.05060613815638924,0.02659149022229519,-0.07171987278265916,-0.0294924035301193
dimension,L128,BBB,z,28.36242563335612,0.9221054989653168,27.87690883395112,29.190946593573376,8.706292201127216,0.3689991007575222,8.421856101429265,8.994579290562429,0.8328125,0.07505694452797156,0.778125,0.896875,0.8975761510054301,0.019034569297590297,0.8852014862682438,0.9147551964566958,0.03659230769230769,0.004027053484039367,0.033407692307692305,0.03977692307692308,0.8592000000000001,0.00687022561492709,0.8547,0.865,0.9107999999999998,0.0030124740662784495,0.9081999999999999,0.9128000000000001,0.11003959267758319,0.0008467403650095233,0.10939603881006472,0.11067258499887303,-0.026499329300135255,0.002049685576972983,-0.028253386106282634,-0.02505848135852353
dimension,L128,HBB,z,26.238961847326415,1.3424586592751178,25.43057345909844,27.447086907601868,8.113554000231499,0.490622544519104,7.7292044759990945,8.497903524463904,0.81875,0.09033493449726412,0.7546875,0.896875,0.8926646630423857,0.021528781514419143,0.8780739806719126,0.911611024089504,0.03906153846153847,0.002181077850906743,0.03727692307692308,0.04068461538461539,0.8571,0.0058566201857385355,0.8531000000000001,0.8621000000000001,0.9108,0.0033466401061363017,0.9079,0.9131,0.10955182234533445,0.000798800586749379,0.10896272235491249,0.1102332842375564,-0.030418571304206533,0.0027732737111442803,-0.03223342456776902,-0.028114987785838298
dimension,L128,HHB,z,15.614826625831938,0.29801844329449145,15.3763300807336,15.840978027401462,5.145133005785834,0.10565933527402596,5.0617782934143385,5.22303419304875,0.7265625,0.03787249888606507,0.6984375,0.7546875,0.8442692073718374,0.014010105797392777,0.8333766404682587,0.8551617742754163,0.040030769230769224,0.003731899115184809,0.03728461538461538,0.04319230769230769,0.8783999999999998,0.0015572411502396844,0.8774000000000001,0.8798,0.9088999999999998,0.004801041553663179,0.9049999999999999,0.9124000000000001,0.11089233152187339,0.0006385499830265634,0.11040975969818592,0.11136964365872089,-0.034594914217828586,0.0014611120981055654,-0.035895760282243186,-0.03361574808629694
dimension,L128,HHH,z,1.017459227893663,0.0017216529379903527,1.016395363019063,1.019027773876889,1.008695555358234,0.0008538096085657348,1.0081677963955624,1.009473296013422,0.1015625,0.0,0.1015625,0.1015625,0.5286342454487276,0.0,0.5286342454487276,0.5286342454487276,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.8779,0.007083431371870585,0.8728,0.8838999999999999,0.8523,0.006685805860178729,0.8473,0.8578000000000001,0.1166229608746222,0.0016308823798750077,0.1154791138369772,0.11799984566833306,-0.03324814682648842,0.009406538885797745,-0.04037544794265995,-0.02564390634047443
dimension,L16,BBB,z,7.078434934731213,3.2935098222957575,4.183398667859864,9.36240985232117,3.755379281152846,1.3977691471969025,2.526650523569339,4.741772563550791,0.7,0.36816691187557854,0.4,0.975,0.750827516404893,0.2297560667604718,0.5496214666230962,0.9051101125970609,0.2350997740396686,0.1028164947941192,0.17229999999999998,0.3246993221190058,0.843,0.12790914744458268,0.7253999999999999,0.9151,0.8882,0.0922182194579791,0.8038000000000001,0.9407,0.4610770400130453,0.0828125077878193,0.39530418706606785,0.5268498929600228,0.08879098429823948,0.026994269122057123,0.06674630859208866,0.11001829907325196
dimension,L16,HBB,z,7.208321514842919,3.3244971427695327,4.318846795759891,9.247153966037136,3.8411493199393947,1.4622190567055762,2.500876295911852,4.709847576980948,0.7,0.3628231318424998,0.3875,0.95,0.7470676326292874,0.284861421344826,0.48994153294494697,0.9091016561481077,0.22655962621607784,0.15521915334895617,0.14545,0.36592887864823354,0.8301000000000001,0.1627292229441289,0.6833,0.915,0.873,0.1363731095194357,0.7497999999999999,0.9391999999999999,0.5104608483331272,0.29689470915868515,0.3544911403079338,0.7778815717449346,0.08478281065376006,0.01659129100713895,0.07045781030142238,0.09591202179298171
dimension,L16,HHB,z,5.524315042566636,3.239594684752079,2.581038540925001,7.506860199536156,2.750758026159635,1.55853365439223,1.3404528364213415,3.6036186251747275,0.6,0.38171078711506173,0.2625,0.8625,0.675171822469856,0.3880083763225087,0.3221305623126681,0.8991093560052184,0.12645,0.07632013168227633,0.0571,0.17995,0.7098,0.342061873058077,0.3992,0.8793999999999998,0.7438,0.36075833323708545,0.4173,0.9198999999999999,0.3251188823694561,0.1865227564133518,0.15580740359905335,0.43356558146315116,0.06356342429494788,0.03735815632669256,0.031393673084880294,0.08638486784282653
dimension,L16,HHH,z,1.0129289324295203,0.0015482379115031144,1.011920359241909,1.0142978341015572,1.006447705394641,0.0007693671575893103,1.0059465293040413,1.0071278282969935,0.125,0.0,0.125,0.125,0.25,0.0,0.25,0.25,0.5,0.0,0.5,0.5,0.6195,0.05835023564648219,0.5746,0.6660999999999999,0.6443,0.06231131518432269,0.6023,0.6967000000000001,0.189489863329357,0.02564977594805344,0.16855909445243408,0.2084789990956844,-0.013966775988532975,0.01169971681050462,-0.02261337139269604,-0.004599544596173058
dimension,L32,BBB,z,11.63983681054988,2.9274993151404747,9.335811757967702,13.802901440162142,5.136400547342135,0.7855933474649662,4.4936651880035345,5.720148578528921,0.7125,0.27368292557264146,0.50625,0.9125,0.834087535697639,0.10967344749630832,0.7404954561077925,0.9134037096390989,0.10095000000000001,0.016822510960020208,0.086225,0.1129724999999997,0.8964000000000001,0.013487957591866894,0.8858,0.907,0.9381,0.008988882021697623,0.9311,0.9452999999999999,0.1649952612053824,0.0163514144440978,0.15062763483959096,0.17573227136212402,0.05528377234714642,0.03686701558277566,0.02749796019092459,0.08306958450336825
dimension,L32,HBB,z,10.786857009777165,3.267965344462288,8.379095914002189,13.44049380664388,4.816200918566198,0.8637376342770974,4.178017416509311,5.539216738743837,0.675,0.28349796075104317,0.4375,0.8875,0.8018140907877843,0.12998032551698657,0.6940505144645346,0.8977826677740787,0.12082499999999999,0.0250166507050804,0.10147500000000001,0.140175,0.8903000000000001,0.008386000238492704,0.8836999999999999,0.8968999999999999,0.9347999999999999,0.011713240371477026,0.9244,0.9408,0.15836682019073875,0.02349457343505005,0.13726380426682752,0.17237887309180458,0.057276544773557835,0.03289463172041247,0.03229459538984164,0.08225849415727404
