seed,method_id,method,noise_type,severity,accuracy,macro_f1,classification_ce,system_reconstruction_mse,standardized_reconstruction_mse,representation_cosine,prediction_js_divergence,num_samples,num_pixels,sample_ids_sha256,accuracy_absolute_degradation,accuracy_relative_degradation,macro_f1_absolute_degradation,system_reconstruction_mse_increase,standardized_reconstruction_mse_increase,source_condition
0,full_bp,BBB,gaussian,0.1,0.8943,0.8931782547165158,0.3407948613166809,0.0053144347468200995,0.005363511459194884,0.9943364262580872,0.014704094268381596,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.021700000000000053,0.023689956331877787,0.021417772215402975,0.002171256239560186,0.002210921986735597,gaussian
0,full_bp,BBB,gaussian,0.2,0.8278,0.8257822852544425,0.5127744674682617,0.011310444691716407,0.011398562472207205,0.9788244366645813,0.05913903936743736,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.08820000000000006,0.09628820960698696,0.08881374167747624,0.008167266184456495,0.008245972999747917,gaussian
0,full_bp,BBB,gaussian,0.3,0.7193,0.712103881851315,0.8077101707458496,0.02003472392023826,0.020117321316076783,0.9584751129150391,0.1250661313533783,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.19669999999999999,0.21473799126637552,0.20249214508060376,0.016891545412978347,0.016964731843617496,gaussian
0,full_bp,BBB,gaussian,0.4,0.5814,0.5665112795736038,1.242324948310852,0.030907161681506097,0.03103987141434027,0.9369511604309082,0.20751860737800598,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.3346,0.36528384279475984,0.34808474735831496,0.027763983174246182,0.027887281941880983,gaussian
0,full_hebbian,HHH,gaussian,0.1,0.8387,0.8393613794486479,0.5144965648651123,0.023439964987307178,0.023091355724723973,0.999973714351654,0.044917646795511246,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.05910000000000004,0.06582757852528406,0.05698230920774228,0.004852625634718912,0.004307667876263056,gaussian
0,full_hebbian,HHH,gaussian,0.2,0.6373,0.6404635138297636,1.1430574655532837,0.034561713522307726,0.03351878947822415,0.9999198317527771,0.16331613063812256,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.26050000000000006,0.2901537090666073,0.2558801748266265,0.01597437416971946,0.014735101629763232,gaussian
0,full_hebbian,HHH,gaussian,0.3,0.4384,0.41787970637947425,2.238407850265503,0.050257813589913505,0.04864040936839824,0.9998543858528137,0.2883824110031128,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.45940000000000003,0.5116952550679439,0.4784639822769159,0.03167047423732524,0.02985672151993732,gaussian
0,full_hebbian,HHH,gaussian,0.4,0.3127,0.26006371027921454,3.814615249633789,0.06925770571183185,0.06779648318388024,0.9997843503952026,0.3898579180240631,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.5851000000000001,0.6517041657384719,0.6362799783771755,0.05067036635924358,0.049012795335419315,gaussian
0,hybrid_hhb,HHB,gaussian,0.1,0.9084,0.9066344591273179,0.3258833587169647,0.008336017645621786,0.008610737526173494,0.9897222518920898,0.011917353607714176,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.010299999999999976,0.011211494503102184,0.010708151821517076,0.003727481995310102,0.004137144946078864,gaussian
0,hybrid_hhb,HHB,gaussian,0.2,0.8615,0.8590230223596359,0.4715334475040436,0.018715720540650037,0.019889690083873514,0.9672800898551941,0.048393767327070236,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.05719999999999992,0.062261891803635484,0.058319588589199056,0.014107184890338353,0.015416097503778883,gaussian
