seed,method_id,method,accuracy,macro_f1,classification_ce,system_reconstruction_mse,standardized_reconstruction_mse,reconstruction_aulc,system_samples_seen,system_wall_time_sec,standardized_decoder_samples_seen,standardized_decoder_wall_time_sec,probe_samples_seen,probe_wall_time_sec,samples_to_threshold,samples_to_threshold_status
0,full_bp,BBB,0.916,0.9145960269319188,0.2845175266265869,0.0031431785072599137,0.003152589472459287,0.004421345489099622,500000,377.950563600054,500000,270.64373090001754,1500000,47.491661299951375,,NA_NOT_PREREGISTERED
1,full_bp,BBB,0.9159,0.9147678939996118,0.2877305746078491,0.0031216802081283257,0.0032215629105665244,0.004465781299993396,500000,377.7294918000698,500000,303.43101569998544,1500000,50.32916630001273,,NA_NOT_PREREGISTERED
2,full_bp,BBB,0.9187,0.917345793795656,0.2792670428752899,0.0028364413565518903,0.002744810096828305,0.00419023532398045,500000,359.6806402000366,500000,300.27980629995,1500000,49.025000900030136,,NA_NOT_PREREGISTERED
3,full_bp,BBB,0.9121,0.9108027183656539,0.2828608751296997,0.0028725919217479474,0.0029440364625989176,0.004447616691812873,500000,211.9927947999995,500000,168.86990969999988,1500000,30.08312560000013,,NA_NOT_PREREGISTERED
4,full_bp,BBB,0.9165,0.9149455936223658,0.27888384461402893,0.0040316192690207035,0.004108846951504143,0.005299785751476884,500000,237.53089509999973,500000,197.84283120000055,1500000,39.64994509999997,,NA_NOT_PREREGISTERED
0,full_hebbian,HHH,0.8978,0.8963436886563901,0.35383105278015137,0.018587339352588265,0.018783687848460916,0.021712906099259854,2000000,802.2583635000046,500000,270.7650542999618,1500000,46.17014509998262,,NA_NOT_PREREGISTERED
1,full_hebbian,HHH,0.9066,0.9054167924395451,0.31239187717437744,0.016608576688961107,0.0165956913578267,0.0199314093080163,2000000,820.558944700053,500000,296.4658606000012,1500000,49.797950099920854,,NA_NOT_PREREGISTERED
2,full_hebbian,HHH,0.8864,0.8849496878670783,0.37001922726631165,0.020250216530780404,0.02038676988251355,0.023253899325430392,2000000,845.2702027000487,500000,280.58288899995387,1500000,49.237447699997574,,NA_NOT_PREREGISTERED
3,full_hebbian,HHH,0.889,0.8875681968449637,0.36875084042549133,0.019642290076430962,0.01962399306394616,0.022532281559705734,2000000,432.4901485999999,500000,163.44890329999998,1500000,25.740659800000685,,NA_NOT_PREREGISTERED
4,full_hebbian,HHH,0.8907,0.8893695955555307,0.3712993562221527,0.01741169210745364,0.018054033372840103,0.020976551749408247,2000000,576.1385577000001,500000,200.71323080000002,1500000,41.368718400000944,,NA_NOT_PREREGISTERED
0,hybrid_hhb,HHB,0.9187,0.917342610948835,0.27857092022895813,0.004608535650311684,0.00447359258009463,0.006361679821237922,1500000,652.8529571000254,500000,264.2848237999715,1500000,47.14852859999519,,NA_NOT_PREREGISTERED
1,hybrid_hhb,HHB,0.9163,0.9150632313422176,0.28453004360198975,0.00490414298894454,0.004787191174954784,0.006795334735810757,1500000,694.5070460001007,500000,291.83176179998554,1500000,46.54433240008075,,NA_NOT_PREREGISTERED
2,hybrid_hhb,HHB,0.9196,0.9183528283154561,0.2728135883808136,0.004344133953658902,0.00424897635907543,0.006013837277591228,1500000,637.3715765000088,500000,266.7934047000017,1500000,45.12177430000156,,NA_NOT_PREREGISTERED
3,hybrid_hhb,HHB,0.924,0.9229492486751099,0.27071261405944824,0.00441723254116214,0.0042791522960273585,0.006218777405917644,1500000,358.6988916999999,500000,176.4912961,1500000,29.172366599999805,,NA_NOT_PREREGISTERED
4,hybrid_hhb,HHB,0.9207,0.9193818008888368,0.28007078170776367,0.004961195008608759,0.005053823266710554,0.006574064453989267,1500000,552.8449380000002,500000,288.5430658000005,1500000,45.960883300000205,,NA_NOT_PREREGISTERED
0,hybrid_hbb,HBB,0.9143,0.9129964251041706,0.28509747982025146,0.0033406444685799737,0.0033819878354364513,0.004768612647503614,1000000,499.52275410003494,500000,275.16037890000734,1500000,45.726881099981256,,NA_NOT_PREREGISTERED
1,hybrid_hbb,HBB,0.9175,0.9164753000567666,0.2857706844806671,0.0031175693341663905,0.003189535821214014,0.004543794008754194,1000000,506.99570060009137,500000,292.3309189999709,1500000,57.66116679995321,,NA_NOT_PREREGISTERED
2,hybrid_hbb,HBB,0.9144,0.9133011239991106,0.2930019795894623,0.0028047950477016214,0.0027403615435775447,0.004175540547519923,1000000,464.4755745000439,500000,246.0006700999802,1500000,41.48430010001175,,NA_NOT_PREREGISTERED
3,hybrid_hbb,HBB,0.9179,0.9164990842714044,0.27352264523506165,0.0029624178869383675,0.002943639189856393,0.004377618856839836,1000000,270.4096316999994,500000,190.5433307000003,1500000,26.359226199999284,,NA_NOT_PREREGISTERED
4,hybrid_hbb,HBB,0.9178,0.9164806467491966,0.27862468361854553,0.004124570015985139,0.0043051388516718025,0.005414961565062404,1000000,437.9455216999995,500000,228.39706730000034,1500000,39.59742779999942,,NA_NOT_PREREGISTERED
