seed,method_id,method,layer,rule,snapshot,alignment,norm_ratio,alpha_star,scale_matched_bias,update_snr_linear,update_snr_db,matched_bp_snr_linear,mean_update_norm
0,full_hebbian,HHH,enc1,hebbian_effective,enc1_end,0.3627579445501469,0.04519362846671804,8.026460292832558,0.9318831601521693,438.4414077882893,26.41911563552821,1.4045289201006335,
0,full_hebbian,HHH,enc2,hebbian_effective,enc2_end,0.033257464568128,0.0025666647563691784,12.901728768996522,0.9994468153392403,0.02369393634256313,-16.253627826777656,0.9285289428504093,
0,full_hebbian,HHH,enc3,hebbian_effective,enc3_end,0.00014485032794044194,0.7659041752464417,0.00018912330369248254,0.9999999895002053,0.9499663237316476,-0.22291790160361413,1.429496082663348,
1,full_hebbian,HHH,enc1,hebbian_effective,enc1_end,0.3354160064780697,0.02911470164719823,11.52013244100192,0.942070000269661,497.1249026835664,26.964655189772017,2.2055533864079555,
1,full_hebbian,HHH,enc2,hebbian_effective,enc2_end,0.041935509542549716,0.0029118790708334077,14.312153084377643,0.9991203213647027,0.01909550588032193,-17.190688317592617,0.6016415115740611,
1,full_hebbian,HHH,enc3,hebbian_effective,enc3_end,-0.0003290187266096823,0.7705322929071872,-0.0004270018656347743,0.99999994586738,2.3071834593666467,3.6308212951144734,3.0176032387948806,
2,full_hebbian,HHH,enc1,hebbian_effective,enc1_end,0.22939679408625802,0.04818335830879961,4.7607109804955465,0.9733328741375352,416.86556337247293,26.199960202041947,0.5539105721456228,
2,full_hebbian,HHH,enc2,hebbian_effective,enc2_end,0.009900409640685672,0.0014283477501133705,6.869039726489419,0.9999509923099723,0.013821606417463451,-18.59441478112635,1.3002670011313386,
2,full_hebbian,HHH,enc3,hebbian_effective,enc3_end,0.00039580959605551105,0.43319654859552803,0.0009136951744248501,0.9999999216628532,1.3758763126575315,1.3857939382337832,4.124598140609279,
3,full_hebbian,HHH,enc1,hebbian_effective,enc1_end,0.5747478141972073,0.05883234824995572,9.769053119144731,0.8183300831757615,489.988543070083,26.901859254578753,1.012538652497342,
3,full_hebbian,HHH,enc2,hebbian_effective,enc2_end,-0.007390942777821377,0.001951517246746241,-3.7505821775399446,0.9999726879457189,0.02034378910313187,-16.9156815498634,0.6602557374107998,
3,full_hebbian,HHH,enc3,hebbian_effective,enc3_end,0.00012798288449116242,0.4255402345376953,0.0003007538983969614,0.9999999918018667,0.8645023969348514,-0.6323379825571931,1.596322991409835,
4,full_hebbian,HHH,enc1,hebbian_effective,enc1_end,0.3377262846725882,0.04600990113485454,7.340105823194239,0.9412442146072203,423.03841416369715,26.263798054408625,2.068209719208126,
4,full_hebbian,HHH,enc2,hebbian_effective,enc2_end,0.10042706458364348,0.002351792817117942,42.484158184335975,0.9949444329736956,0.013364823497966178,-18.740367723631486,0.9457123399406111,
4,full_hebbian,HHH,enc3,hebbian_effective,enc3_end,-0.00011008694887457214,0.4483860375042795,-0.0002455182357627397,0.999999993936199,0.9691164848628255,-0.1362401893197729,7.334672294273067,
