method,layer,rule,alignment_mean,alignment_sd,norm_ratio_mean,norm_ratio_sd,alpha_star_mean,alpha_star_sd,scale_matched_bias_mean,scale_matched_bias_sd,update_snr_linear_mean,update_snr_linear_sd,update_snr_db_mean,update_snr_db_sd,matched_bp_snr_linear_mean,matched_bp_snr_linear_sd
BBB,enc1,bp_raw,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,17.483897284288965,17.471029519286514,8.764954683217626,7.55913040969739,17.483897284288965,17.471029519286514
BBB,enc2,bp_raw,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.921942380439956,5.631285547587934,6.93373398663582,4.205092648435771,6.921942380439956,5.631285547587934
BBB,enc3,bp_raw,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.736492502147075,0.4921418835823823,7.573093929467579,0.385263451825261,5.736492502147075,0.4921418835823823
HBB,enc1,hebbian_effective,0.368008968796854,0.12645275855195415,0.045466787561505226,0.010651035995798806,8.2832925313338,2.5518993844077857,0.9213720664684695,0.059689541965554635,453.0917662156218,37.84991411315136,26.54987766726591,0.3596226902216688,1.4489482500719357,0.6981144172205592
HBB,enc1,hebbian_raw,0.3679905119718899,0.12650905263879014,90.93345682411692,21.302575915110026,0.004141543933313947,0.001276391206201398,0.9213713643702464,0.05973021703674766,459.96452632063085,37.95541637132337,26.615555616838957,0.3551095820934416,1.4489482500719357,0.6981144172205592
HBB,enc2,bp_raw,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.368264004861709,5.787492819968624,6.770330718306175,3.622121493137558,6.368264004861709,5.787492819968624
HBB,enc3,bp_raw,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.146659604481828,2.3265613445910316,6.731625677000184,2.0909326911763317,5.146659604481828,2.3265613445910316
HHB,enc1,hebbian_effective,0.368008968796854,0.12645275855195415,0.045466787561505226,0.010651035995798806,8.2832925313338,2.5518993844077857,0.9213720664684695,0.059689541965554635,453.0917662156218,37.84991411315136,26.54987766726591,0.3596226902216688,1.4489482500719357,0.6981144172205592
HHB,enc1,hebbian_raw,0.3679905119718899,0.12650905263879014,90.93345682411692,21.302575915110026,0.004141543933313947,0.001276391206201398,0.9213713643702464,0.05973021703674766,459.96452632063085,37.95541637132337,26.615555616838957,0.3551095820934416,1.4489482500719357,0.6981144172205592
HHB,enc2,hebbian_effective,0.0356259011114371,0.041100064498641,0.002242040328236028,0.0005728459308163075,14.563299517331922,17.153703222978294,0.998687049986666,0.0021226495672965117,0.01806393224828931,0.004416949995208042,-17.5389560397983,1.0861875183431116,0.8872811065814439,0.27785042676275057
HHB,enc2,hebbian_raw,0.0363428992533642,0.04122601095852626,4.483744743227666,1.145595525816172,0.007530789724061819,0.008641218439895852,0.9986569993879296,0.00215744962217025,0.018063520445803376,0.004417813446034807,-17.53909268742901,1.0863556532300502,0.8872811065814439,0.27785042676275057
HHB,enc3,bp_raw,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8.522779702007862,1.0156555397262013,9.282565272157935,0.49505235412714843,8.522779702007862,1.0156555397262013
HHH,enc1,hebbian_effective,0.368008968796854,0.12645275855195415,0.045466787561505226,0.010651035995798806,8.2832925313338,2.5518993844077857,0.9213720664684695,0.059689541965554635,453.0917662156218,37.84991411315136,26.54987766726591,0.3596226902216688,1.4489482500719357,0.6981144172205592
HHH,enc1,hebbian_raw,0.3679905119718899,0.12650905263879014,90.93345682411692,21.302575915110026,0.004141543933313947,0.001276391206201398,0.9213713643702464,0.05973021703674766,459.96452632063085,37.95541637132337,26.615555616838957,0.3551095820934416,1.4489482500719357,0.6981144172205592
HHH,enc2,hebbian_effective,0.0356259011114371,0.041100064498641,0.002242040328236028,0.0005728459308163075,14.563299517331922,17.153703222978294,0.998687049986666,0.0021226495672965117,0.01806393224828931,0.004416949995208042,-17.5389560397983,1.0861875183431116,0.8872811065814439,0.27785042676275057
HHH,enc2,hebbian_raw,0.0363428992533642,0.04122601095852626,4.483744743227666,1.145595525816172,0.007530789724061819,0.008641218439895852,0.9986569993879296,0.00215744962217025,0.018063520445803376,0.004417813446034807,-17.53909268742901,1.0863556532300502,0.8872811065814439,0.27785042676275057
HHH,enc3,hebbian_effective,4.5907426600572196e-05,0.00027561815626138164,0.5687118577582264,0.182316424008465,0.000146210455023356,0.000523636733510152,0.9999999685537009,3.2927667784438124e-08,1.2933289955107004,0.6003371680828091,0.8050238319735353,1.7557816187029933,3.5005385495500816,2.4103170046439097
HHH,enc3,hebbian_raw,-8.250900635166726e-05,0.0005483193757449758,1138.3326435640477,365.122504188263,-1.6536644685081313e-08,5.697163489236237e-07,0.999999876328056,1.4405735840152817e-07,1.2918032138889737,0.5993906672432041,0.80014638018186,1.7550646656428415,3.5005385495500816,2.4103170046439097
