seed,method_id,method,layer,rule,snapshot,alignment,norm_ratio,alpha_star,scale_matched_bias,update_snr_linear,update_snr_db,matched_bp_snr_linear,mean_update_norm
0,full_hebbian,HHH,enc1,hebbian_raw,enc1_end,0.36250712677130614,90.38653680962932,0.004010631890234592,0.9319809989121318,445.95718634156543,26.492931667208506,1.4045289201006335,
0,full_hebbian,HHH,enc1,hebbian_effective,enc1_end,0.3627579445501469,0.04519362846671804,8.026460292832558,0.9318831601521693,438.4414077882893,26.41911563552821,1.4045289201006335,
0,hybrid_hhb,HHB,enc1,hebbian_raw,enc1_end,0.36250712677130614,90.38653680962932,0.004010631890234592,0.9319809989121318,445.95718634156543,26.492931667208506,1.4045289201006335,
0,hybrid_hhb,HHB,enc1,hebbian_effective,enc1_end,0.3627579445501469,0.04519362846671804,8.026460292832558,0.9318831601521693,438.4414077882893,26.41911563552821,1.4045289201006335,
0,hybrid_hbb,HBB,enc1,hebbian_raw,enc1_end,0.36250712677130614,90.38653680962932,0.004010631890234592,0.9319809989121318,445.95718634156543,26.492931667208506,1.4045289201006335,
0,hybrid_hbb,HBB,enc1,hebbian_effective,enc1_end,0.3627579445501469,0.04519362846671804,8.026460292832558,0.9318831601521693,438.4414077882893,26.41911563552821,1.4045289201006335,
0,full_hebbian,HHH,enc2,hebbian_raw,enc2_end,0.03327219358710542,5.133224778526548,0.006481733250720132,0.9994463271152382,0.023695704077297805,-16.253303824555104,0.9285289428504093,
0,full_hebbian,HHH,enc2,hebbian_effective,enc2_end,0.033257464568128,0.0025666647563691784,12.901728768996522,0.9994468153392403,0.02369393634256313,-16.253627826777656,0.9285289428504093,
0,hybrid_hhb,HHB,enc2,hebbian_raw,enc2_end,0.03327219358710542,5.133224778526548,0.006481733250720132,0.9994463271152382,0.023695704077297805,-16.253303824555104,0.9285289428504093,
0,hybrid_hhb,HHB,enc2,hebbian_effective,enc2_end,0.033257464568128,0.0025666647563691784,12.901728768996522,0.9994468153392403,0.02369393634256313,-16.253627826777656,0.9285289428504093,
0,full_hebbian,HHH,enc3,hebbian_raw,enc3_end,-0.00017556993615663443,1532.775691062773,-1.145437895308295e-07,0.9999999845786127,0.9488917333881128,-0.22783336860836662,1.429496082663348,
0,full_hebbian,HHH,enc3,hebbian_effective,enc3_end,0.00014485032794044194,0.7659041752464417,0.00018912330369248254,0.9999999895002053,0.9499663237316476,-0.22291790160361413,1.429496082663348,
0,full_bp,BBB,enc1,bp_raw,final_validation_selected,1.0,1.0,1.0,0.0,35.74505579791076,15.532159793348786,35.74505579791076,0.0024235799838788806
0,full_bp,BBB,enc2,bp_raw,final_validation_selected,1.0,1.0,1.0,0.0,13.282505973972768,11.2328001991118,13.282505973972768,0.002974069342017174
